Stock,Gap,B,S
FLC,3198,4911,1713
HPG,1954,9109,7155
ROS,1893,1893,0
STB,1628,5262,3634
KBC,1476,5046,3570
MBB,1078,4152,3074
SSI,980,3551,2571
ART,842,1118,276
VHM,774,2227,1453
SHB,683,2473,1790
PDR,628,1053,425
ASM,614,2086,1472
HSG,606,2413,1807
VNM,600,2700,2100
PVD,586,2261,1675
BSR,573,1158,585
VIG,530,691,161
TCH,529,2404,1875
TCB,521,4400,3879
ITA,474,2944,2470
TNG,474,919,445
AGR,448,1141,693
HDB,434,1357,923
TDT,434,475,41
HCM,418,1443,1025
TPB,400,985,585
PVT,357,1410,1053
VND,341,1624,1283
AGG,340,609,269
CTG,327,2717,2390
VDS,310,571,261
MWG,302,1289,987
VCB,287,1228,941
GMD,284,1178,894
PVS,277,1118,841
SAM,275,360,85
VRC,271,418,147
VJC,265,512,247
DBC,264,1083,819
VOS,262,262,0
APH,249,344,95
PAN,238,556,318
HDG,236,611,375
CKG,233,608,375
CTR,232,464,232
SZC,210,782,572
HQC,206,1354,1148
DAG,206,359,153
VCI,204,606,402
ACM,201,201,0
CTS,194,503,309
HHS,192,867,675
BID,190,1164,974
DRH,189,488,299
NHH,184,225,41
KLF,178,330,152
FIT,176,176,0
MBG,175,347,172
PPC,172,257,85
CTD,159,705,546
TTF,151,1022,871
DRC,148,735,587
PNJ,146,645,499
VIX,144,320,176
KDC,142,325,183
FRT,139,976,837
AAS,137,411,274
DCM,134,788,654
EVG,134,228,94
PET,133,575,442
HBC,131,2303,2172
AMV,131,299,168
NVB,131,224,93
HVN,130,651,521
OIL,128,367,239
DST,124,248,124
TCM,122,345,223
VPG,122,193,71
FTM,119,185,66
PSH,119,146,27
D2D,114,319,205
KSB,113,585,472
HDC,110,434,324
BMI,109,272,163
GVR,108,2677,2569
APS,108,214,106
HUT,107,421,314
CRE,106,377,271
BVS,98,291,193
MBS,97,400,303
CEO,97,388,291
TIG,96,235,139
DIG,95,1140,1045
KVC,94,112,18
MSN,93,1193,1100
VGC,93,240,147
NT2,93,232,139
ACV,93,158,65
HII,93,135,42
DPM,85,603,518
HAG,84,1528,1444
PVL,84,123,39
QCG,83,210,127
NRC,83,144,61
PAS,81,157,76
MSR,80,282,202
G36,80,239,159
ATB,80,80,0
CMX,78,257,179
GIL,76,289,213
AST,76,183,107
PHR,74,592,518
DPG,72,282,210
BII,72,161,89
CII,71,459,388
GKM,70,211,141
HT1,70,167,97
SCR,69,574,505
TCL,69,140,71
SBT,68,1165,1097
IBC,68,76,8
S99,66,110,44
VHE,66,103,37
FTS,65,217,152
APG,64,332,268
TNT,64,108,44
DXG,63,1914,1851
DGW,63,334,271
FID,62,85,23
DHM,61,89,28
MPT,59,78,19
IDJ,58,246,188
NTC,58,146,88
LCG,57,708,651
PLX,56,448,392
DGC,56,425,369
TDG,56,127,71
HAH,55,287,232
SKG,55,168,113
PHC,55,79,24
VCS,54,205,151
HPX,54,109,55
IJC,53,444,391
AAV,53,152,99
PVC,52,133,81
MIG,51,132,81
DRI,50,141,91
VSC,50,76,26
NTL,48,365,317
TTH,48,85,37
CDO,47,70,23
PLC,46,181,135
DHC,46,93,47
BVH,45,601,556
SCI,45,78,33
PXT,45,45,0
HAP,44,147,103
YEG,44,73,29
AAA,43,535,492
TDM,42,172,130
VNE,42,58,16
REE,41,337,296
PTB,41,150,109
HLD,41,63,22
LIG,40,141,101
EVF,39,111,72
BCE,39,102,63
DVP,39,77,38
ANV,38,204,166
VNG,38,87,49
NDN,37,168,131
TAR,36,146,110
PVV,36,70,34
NLG,35,493,458
TGG,35,324,289
CMG,35,107,72
CSM,35,104,69
IMP,35,50,15
BCC,34,161,127
HAX,34,132,98
KSH,34,101,67
DTA,34,47,13
PC1,33,152,119
PWA,33,90,57
C47,33,81,48
ABS,33,49,16
IDI,32,352,320
NHA,32,119,87
MST,32,75,43
ELC,30,114,84
DDG,30,109,79
STH,30,38,8
KMR,29,74,45
ACC,29,47,18
DVN,28,151,123
BMP,28,132,104
DLG,27,876,849
LHG,27,132,105
PVB,27,121,94
SRA,27,113,86
DTD,27,62,35
KSQ,27,32,5
BWE,26,275,249
PLP,26,164,138
FIR,26,83,57
POM,26,78,52
SSN,26,39,13
AMD,25,565,540
TV2,24,118,94
VC3,24,44,20
PVP,23,153,130
C32,23,79,56
DXP,23,67,44
PXL,23,64,41
DHA,23,32,9
CCL,22,197,175
SJS,22,124,102
ADG,22,60,38
ORS,22,55,33
PGN,22,28,6
TVB,21,170,149
HND,21,57,36
KOS,21,55,34
AGM,21,25,4
QNS,20,49,29
NNC,20,36,16
SJD,20,30,10
LAS,19,59,40
BCM,19,55,36
TDN,19,34,15
DZM,19,32,13
HOM,19,30,11
YBM,19,26,7
LTG,18,127,109
HVH,18,63,45
SWC,18,62,44
QTP,18,62,44
HHG,18,50,32
MFS,18,35,17
PHP,18,27,9
SVN,18,27,9
NBC,18,24,6
HCC,18,21,3
DRL,18,19,1
PMG,18,19,1
PGC,17,44,27
QNC,17,33,16
VTB,17,32,15
VSH,17,29,12
SD6,16,49,33
PVG,16,30,14
SZL,16,30,14
HTM,16,28,12
AMS,16,22,6
TCR,16,16,0
GTN,15,656,641
KLB,15,34,19
TMS,15,28,13
BVG,15,21,6
CRC,13,113,100
AFX,13,34,21
SD5,13,28,15
MCG,13,27,14
THT,13,15,2
DBT,13,14,1
AGP,13,13,0
CIG,13,13,0
APC,12,44,32
CVT,12,23,11
LHC,12,19,7
VMC,12,15,3
SAV,12,12,0
NTP,11,26,15
UDC,11,25,14
DS3,11,24,13
SGR,11,24,13
CHP,11,15,4
ASG,11,12,1
EID,11,12,1
ITC,10,53,43
NSH,10,32,22
MLS,10,32,22
DQC,10,31,21
LGL,10,21,11
DHG,10,19,9
PAC,10,18,8
TTZ,10,14,4
TN1,10,10,0
DPR,9,19,10
DHT,9,14,5
HDA,9,13,4
PTS,9,12,3
CET,9,10,1
MHC,8,128,120
FMC,8,121,113
NAF,8,53,45
HID,8,49,41
SHI,8,47,39
KHP,8,38,30
TVS,8,30,22
TTB,7,233,226
HTN,7,98,91
HUB,7,17,10
BTS,7,15,8
DC4,7,14,7
SD2,7,11,4
EVE,7,11,4
VIS,7,10,3
LBM,7,10,3
FOC,7,9,2
OGC,6,153,147
API,6,68,62
DDN,6,20,14
ASP,6,19,13
DBD,6,18,12
MTA,6,17,11
PSD,6,14,8
PTL,6,11,5
NVT,6,7,1
TVD,5,14,9
ITQ,5,13,8
SHA,5,12,7
ABI,5,12,7
PGS,5,11,6
UIC,5,7,2
CAV,5,6,1
VSI,5,5,0
NAG,5,5,0
BTP,4,15,11
FOX,4,14,10
MCH,4,14,10
TA9,4,10,6
INN,4,8,4
VIT,4,7,3
SGN,4,7,3
SCD,4,5,1
C4G,3,143,140
ABC,3,24,21
TRA,3,14,11
TS4,3,8,5
NBB,3,7,4
ILA,3,6,3
CTF,3,5,2
ITS,3,5,2
STG,3,5,2
PGD,3,5,2
VCF,3,3,0
CEE,3,3,0
ILB,2,56,54
ADS,2,24,22
SZB,2,10,8
TDP,2,7,5
TCD,2,7,5
BDG,2,6,4
HAD,2,6,4
WCS,2,5,3
LM8,2,5,3
CLX,2,3,1
HTL,2,2,0
SHP,2,2,0
CLC,2,2,0
PME,2,2,0
SBV,1,20,19
SBA,1,19,18
CAP,1,18,17
TAC,1,18,17
FCM,1,15,14
GDT,1,14,13
HHP,1,12,11
CMS,1,9,8
BAX,1,8,7
VKC,1,5,4
MQN,1,5,4
VPD,1,3,2
VC9,1,3,2
TDS,1,2,1
BHN,1,2,1
CLL,1,2,1
RDP,1,1,0
TXM,1,1,0
STP,1,1,0
SHS,0,681,681
TYA,0,12,12
HAN,0,11,11
MML,0,11,11
SHN,0,10,10
NSC,0,8,8
DSN,0,6,6
GAB,0,3,3
TMT,0,3,3
LEC,0,1,1
SJE,0,1,1
TKC,0,1,1
FPT,-1,1420,1421
TBC,-1,9,10
M10,-1,9,10
SD9,-1,7,8
SFG,-1,6,7
CIA,-1,6,7
VC7,-1,5,6
SHE,-1,4,5
PGI,-1,1,2
DAT,-1,1,2
CLH,-1,0,1
TSC,-2,272,274
HCD,-2,77,79
L14,-2,58,60
ACL,-2,51,53
VPH,-2,16,18
ICT,-2,14,16
SLS,-2,12,14
SFI,-2,11,13
IDV,-2,6,8
CTP,-2,4,6
HRC,-2,1,3
SPM,-2,1,3
BTT,-2,0,2
HPI,-2,0,2
CTI,-3,108,111
SPI,-3,24,27
TCW,-3,13,16
TVT,-3,2,5
BTD,-3,1,4
BOT,-3,1,4
NVL,-4,548,552
HAR,-4,189,193
MPC,-4,47,51
TLG,-4,41,45
DMC,-4,38,42
SMB,-4,11,15
TEG,-4,6,10
C69,-5,57,62
SDT,-5,36,41
GEG,-7,328,335
CSC,-7,6,13
RIC,-7,5,12
JVC,-8,255,263
GMC,-8,19,27
HAT,-8,2,10
VPS,-8,0,8
STK,-9,29,38
TNA,-10,125,135
TLH,-10,115,125
ITD,-10,15,25
CEN,-10,4,14
LCM,-11,22,33
CDC,-11,3,14
SCS,-12,37,49
BSI,-14,393,407
TVC,-14,213,227
HSL,-14,36,50
QBS,-15,35,50
VTO,-15,26,41
PVI,-17,22,39
SJF,-18,406,424
DCL,-18,63,81
SRC,-19,37,56
TLD,-20,179,199
NKG,-24,1025,1049
HAI,-24,465,489
TDC,-26,302,328
LSS,-26,148,174
LIX,-26,53,79
VIP,-27,178,205
BFC,-27,71,98
RAL,-28,44,72
PXI,-28,12,40
TDH,-29,367,396
THG,-29,42,71
DAH,-30,165,195
SMC,-30,138,168
TIP,-30,36,66
GEX,-31,1259,1290
BMC,-32,67,99
HTI,-34,30,64
CSV,-39,104,143
DNM,-39,0,39
VIC,-48,908,956
CVN,-49,68,117
TNI,-50,276,326
NCT,-50,47,97
VGS,-51,35,86
HNG,-54,1136,1190
PXS,-56,81,137
CNG,-56,48,104
TCT,-59,29,88
KDH,-60,295,355
VHC,-63,493,556
GAS,-77,631,708
BIC,-82,29,111
BCG,-87,216,303
LDG,-88,1543,1631
VPI,-89,212,301
IDC,-93,296,389
SAB,-93,209,302
FCN,-110,442,552
VRE,-145,3339,3484
VPB,-193,1070,1263
EIB,-393,175,568
POW,-733,1899,2632
