Stock,Morning,Afternoon,Volume,Filtered
AFX,65500,73100,138600,True
M10,3400,4700,8100,True
LGL,2320,2730,5050,True
ITS,600,2000,2600,True
CET,2200,7100,9300,True
DDG,71400,75200,146600,True
NAG,3400,8300,11700,True
BIC,6030,7280,13310,True
LBM,80,1600,1680,True
PSD,29200,30200,59400,True
SAB,20130,30730,50860,True
VC3,86800,107100,193900,True
SGN,90,100,190,True
DHM,7200,9970,17170,True
DDN,11900,20100,32000,True
MLS,17800,20800,38600,True
TDN,44300,61900,106200,True
EIB,92870,146510,239380,True
SCD,0,310,310,True
KLB,44400,55700,100100,True
DHG,320,480,800,True
ITD,1440,1510,2950,True
VMC,7100,56800,63900,True
SD2,600,6000,6600,True
CTF,40,220,260,True
TVT,0,510,510,True
TTZ,9200,11200,20400,True
ABI,3900,5900,9800,True
PGI,30,50,80,True
HCC,9100,10800,19900,True
CLH,0,2000,2000,True
INN,2700,5600,8300,True
LCM,0,12420,12420,True
SPM,10,120,130,True
AMS,8800,27800,36600,True
CEN,5300,19900,25200,True
ILA,1000,42000,43000,True
PAC,1920,2830,4750,True
TCT,2480,5920,8400,True
PME,0,40,40,True
PXT,5650,310,5960,False
PVL,979400,197400,1176800,False
SJD,7240,1360,8600,False
PTS,22200,14100,36300,False
CLX,1300,100,1400,False
PNJ,61920,28260,90180,False
BSI,169710,11850,181560,False
EVG,79200,13030,92230,False
GVR,1080540,196790,1277330,False
SJS,24610,7450,32060,False
CNG,14220,2810,17030,False
KLF,8874700,2066800,10941500,False
DHA,3320,1010,4330,False
PDR,255530,115570,371100,False
ITQ,135900,3700,139600,False
CMX,29770,6900,36670,False
IMP,2920,780,3700,False
POM,13880,1520,15400,False
YEG,3410,680,4090,False
NDN,717600,190600,908200,False
PLC,401100,114200,515300,False
PMG,610,20,630,False
PAS,670200,569400,1239600,False
TLG,3700,1430,5130,False
TMT,90,0,90,False
SHI,125110,4000,129110,False
HPX,72970,4140,77110,False
TCH,816690,130020,946710,False
DSN,650,20,670,False
VNM,330380,82370,412750,False
ABC,28400,300,28700,False
TCM,35870,11870,47740,False
FIT,33980,22830,56810,False
ANV,28480,3480,31960,False
C69,267700,22900,290600,False
C4G,1075900,246500,1322400,False
VTB,7480,170,7650,False
TAR,292400,181700,474100,False
SRC,7330,1720,9050,False
SD9,9300,3500,12800,False
PTB,16990,6120,23110,False
ABS,3020,1910,4930,False
TTF,524280,114010,638290,False
DPR,1700,110,1810,False
CVT,950,680,1630,False
FIR,8360,2390,10750,False
C47,8900,290,9190,False
DHC,7550,4550,12100,False
DIG,655830,159890,815720,False
SJF,269180,33640,302820,False
TMS,1160,190,1350,False
DHT,7500,5600,13100,False
SHN,13400,6600,20000,False
L14,88700,36500,125200,False
ACV,138500,69100,207600,False
NHH,29680,6810,36490,False
EVE,1410,0,1410,False
PAN,146040,15820,161860,False
PVG,57300,14900,72200,False
PVP,470900,80500,551400,False
BFC,19300,2620,21920,False
LHG,18740,5470,24210,False
PXL,223800,55200,279000,False
RAL,3270,770,4040,False
MBS,1630800,453200,2084000,False
CMS,20500,18500,39000,False
TCB,2269690,470560,2740250,False
TYA,980,80,1060,False
SRA,382200,73100,455300,False
SFG,540,140,680,False
PVI,54600,19900,74500,False
CTI,36660,5920,42580,False
DPG,43380,6170,49550,False
DQC,3160,930,4090,False
VC9,8800,200,9000,False
ACC,3580,850,4430,False
HII,37320,2460,39780,False
TCL,15100,680,15780,False
HSG,1510250,178360,1688610,False
HRC,280,0,280,False
D2D,27520,4060,31580,False
SJE,2000,0,2000,False
ITC,18000,1280,19280,False
NKG,469450,47320,516770,False
FID,936700,135300,1072000,False
EVF,249700,155900,405600,False
PLP,41350,3020,44370,False
GTN,175910,42390,218300,False
ITA,1826490,247640,2074130,False
LIX,6030,990,7020,False
NSC,610,0,610,False
BDG,3500,2000,5500,False
CLL,20,10,30,False
TNI,173350,29810,203160,False
HPI,2000,2000,4000,False
DRL,850,220,1070,False
SPI,124200,92400,216600,False
BID,174600,26220,200820,False
MTA,37200,11000,48200,False
KMR,28760,2840,31600,False
CDC,420,120,540,False
BVG,37600,11100,48700,False
KSB,139130,24930,164060,False
VPH,11360,300,11660,False
DBD,1550,1230,2780,False
DAH,77740,12550,90290,False
HCM,502570,68670,571240,False
HAR,82180,26250,108430,False
OGC,47770,4900,52670,False
AGM,1550,230,1780,False
MSR,846400,221300,1067700,False
HAD,2500,300,2800,False
VKC,18800,200,19000,False
QTP,287600,146400,434000,False
CIG,640,100,740,False
APS,1334300,169400,1503700,False
VPI,110710,29570,140280,False
MFS,44300,21900,66200,False
NTC,149400,44400,193800,False
BAX,7000,200,7200,False
BCG,98770,14200,112970,False
IJC,190070,76760,266830,False
NAF,18180,6470,24650,False
GDT,1130,50,1180,False
GEG,65170,13270,78440,False
G36,815400,772600,1588000,False
LAS,184000,43700,227700,False
IDI,152960,21540,174500,False
APG,104770,20660,125430,False
NTP,22900,18700,41600,False
STG,180,70,250,False
BVS,1130800,306900,1437700,False
PGD,210,0,210,False
NLG,163880,37370,201250,False
PGS,19700,18300,38000,False
KDH,98660,31420,130080,False
BCE,22450,1460,23910,False
VRC,124000,22060,146060,False
TKC,2100,0,2100,False
HUT,9790300,5663900,15454200,False
CEE,60,40,100,False
HT1,25840,2570,28410,False
TRA,840,60,900,False
STP,200,0,200,False
HVN,90260,16030,106290,False
VHM,435350,110650,546000,False
HOM,71800,30300,102100,False
SZL,1240,370,1610,False
VGC,59840,23150,82990,False
MQN,4200,3000,7200,False
SVN,72900,23500,96400,False
HAG,1015240,112980,1128220,False
FOC,1700,1700,3400,False
HAP,49130,5850,54980,False
TDM,25180,9240,34420,False
DC4,1650,120,1770,False
HUB,1240,70,1310,False
BCC,786500,93400,879900,False
SMC,39690,2600,42290,False
NRC,364800,122400,487200,False
LSS,58160,11090,69250,False
DVP,8340,530,8870,False
STB,2757110,358580,3115690,False
HAT,12300,0,12300,False
HLD,190300,26500,216800,False
ADG,64400,22800,87200,False
MST,296100,34000,330100,False
DBC,222340,30480,252820,False
DBT,870,430,1300,False
TDH,113080,21720,134800,False
VSC,6020,3000,9020,False
EID,9200,0,9200,False
LTG,216900,64200,281100,False
ILB,6280,4490,10770,False
ORS,247200,124600,371800,False
TLD,64870,6120,70990,False
FPT,278860,41880,320740,False
TAC,1000,120,1120,False
SGR,4550,100,4650,False
TTB,108750,19450,128200,False
DRI,412800,78100,490900,False
VCI,200580,16930,217510,False
SD6,312500,54500,367000,False
DRH,136400,23410,159810,False
SKG,20490,6210,26700,False
MCH,12000,7600,19600,False
PXS,44990,2230,47220,False
CSM,14190,12500,26690,False
APC,6940,380,7320,False
VRE,1125310,230040,1355350,False
CIA,9800,6100,15900,False
C32,10040,800,10840,False
TSC,132090,27990,160080,False
VJC,48060,19840,67900,False
VIX,216070,4150,220220,False
VGS,272500,8600,281100,False
OIL,1356300,352500,1708800,False
ADS,3930,830,4760,False
TS4,860,60,920,False
HVH,15470,4220,19690,False
TGG,214600,54120,268720,False
SCI,176100,200,176300,False
SAV,290,0,290,False
SMB,1320,1080,2400,False
CHP,1210,60,1270,False
ASM,657390,205470,862860,False
BMI,42990,5430,48420,False
PGC,5900,3180,9080,False
KSQ,154400,26600,181000,False
GKM,383500,243200,626700,False
BWE,31270,10190,41460,False
BOT,36700,7600,44300,False
NT2,33080,3210,36290,False
NVL,201370,50060,251430,False
S99,388200,30600,418800,False
SLS,10400,6300,16700,False
FTM,68920,4470,73390,False
CAP,16800,12600,29400,False
ACM,327500,54000,381500,False
VNG,13450,5350,18800,False
CRE,185410,14690,200100,False
TPB,288370,87960,376330,False
DTA,8410,6440,14850,False
TDP,23340,30,23370,False
SAM,90830,19840,110670,False
SBV,2890,790,3680,False
SCR,384980,91110,476090,False
TDG,41880,13120,55000,False
SBA,3750,710,4460,False
HTL,300,0,300,False
DMC,2980,790,3770,False
DLG,809940,193120,1003060,False
NVB,4896300,1025500,5921800,False
REE,50780,17250,68030,False
KDC,68980,8790,77770,False
BTP,1520,400,1920,False
IDV,3000,1600,4600,False
NCT,5310,1730,7040,False
NBC,122000,14700,136700,False
BTT,40,0,40,False
PET,165750,40920,206670,False
LM8,200,10,210,False
CII,223960,18430,242390,False
VSH,1270,350,1620,False
VPS,680,10,690,False
API,266900,18400,285300,False
VPD,50,0,50,False
DCL,15310,2510,17820,False
CSC,14900,3000,17900,False
QCG,90500,9510,100010,False
AGR,241460,23970,265430,False
TDS,400,0,400,False
HBC,956970,179580,1136550,False
HAX,27190,2810,30000,False
MSN,232190,51310,283500,False
MPC,46100,32400,78500,False
AGP,4000,200,4200,False
MPT,693600,161200,854800,False
AGG,94350,15150,109500,False
HAN,5500,2500,8000,False
SWC,80900,31400,112300,False
VHE,244500,69000,313500,False
QNC,46000,8000,54000,False
DAT,40,10,50,False
THG,4320,4260,8580,False
VDS,146480,19040,165520,False
BCM,7840,1290,9130,False
BTS,15800,4200,20000,False
PHC,4210,3270,7480,False
BTD,2800,300,3100,False
PGN,36500,10800,47300,False
NVT,720,70,790,False
HTM,15800,9200,25000,False
SCS,3850,3330,7180,False
CEO,3544300,886700,4431000,False
VIC,124470,44480,168950,False
VIT,6200,2100,8300,False
HCD,21900,4360,26260,False
TDT,634400,370900,1005300,False
TEG,7110,740,7850,False
TDC,128730,14370,143100,False
DZM,109900,34100,144000,False
PHP,22100,2900,25000,False
YBM,3410,10,3420,False
NNC,1160,610,1770,False
KHP,16090,2070,18160,False
THT,31100,17000,48100,False
FTS,83000,3620,86620,False
TIP,8850,1220,10070,False
VPG,60010,18850,78860,False
TIG,1595300,610300,2205600,False
DAG,73300,11970,85270,False
DVN,398700,194800,593500,False
STK,5530,1540,7070,False
QBS,22560,1590,24150,False
PHR,142240,36030,178270,False
FCM,2280,330,2610,False
HND,70000,43400,113400,False
FLC,4758090,803900,5561990,False
FOX,5600,2900,8500,False
VIS,470,10,480,False
ASG,160,10,170,False
ART,15133600,2328500,17462100,False
ASP,4200,120,4320,False
NTL,102130,11750,113880,False
RDP,10,0,10,False
BMC,19980,3610,23590,False
LCG,367510,50570,418080,False
BVH,95760,11190,106950,False
GIL,58950,5980,64930,False
STH,19500,13900,33400,False
DTD,156600,72000,228600,False
QNS,128400,16000,144400,False
HAI,408060,61350,469410,False
CRC,18730,3580,22310,False
FCN,320220,51010,371230,False
SZC,125820,18250,144070,False
SZB,9700,2600,12300,False
DXG,901850,185020,1086870,False
HNG,632250,78040,710290,False
JVC,82760,16230,98990,False
DXP,146800,39000,185800,False
VHC,98000,23010,121010,False
HAH,77200,17340,94540,False
VIG,5249100,1879100,7128200,False
NBB,800,0,800,False
VIP,87570,34830,122400,False
HTI,14990,1150,16140,False
MIG,25500,5070,30570,False
CDO,304700,65500,370200,False
MHC,54160,11420,65580,False
DCM,215150,82330,297480,False
APH,39670,12090,51760,False
VSI,160,0,160,False
RIC,2420,730,3150,False
PPC,22990,5770,28760,False
GEX,505720,85780,591500,False
WCS,1600,300,1900,False
CSV,23030,4320,27350,False
FMC,16270,2580,18850,False
TVC,1024200,378700,1402900,False
SBT,468120,86220,554340,False
SDT,152200,97000,249200,False
SD5,47800,5000,52800,False
DRC,216010,46570,262580,False
VND,410310,43140,453450,False
HDC,91610,10430,102040,False
CTR,975300,377500,1352800,False
TTH,654700,297800,952500,False
HID,19950,8690,28640,False
MWG,214570,65880,280450,False
VCB,116640,19120,135760,False
HDB,476720,62270,538990,False
CTS,114190,17430,131620,False
VNE,25820,3750,29570,False
AMD,465650,50670,516320,False
CTD,93190,19010,112200,False
HQC,1390370,168510,1558880,False
TCW,37100,21900,59000,False
HPG,3447170,563050,4010220,False
DGC,69730,17510,87240,False
TN1,400,0,400,False
SHA,1050,600,1650,False
TNG,4516000,905300,5421300,False
PWA,143000,103200,246200,False
UIC,200,10,210,False
PLX,61360,10960,72320,False
PVV,532100,49800,581900,False
BHN,80,0,80,False
CCL,62700,5680,68380,False
MBG,2413100,353300,2766400,False
CMG,10110,600,10710,False
FRT,222070,25710,247780,False
SSI,1226200,169020,1395220,False
CVN,275700,37400,313100,False
ACL,4540,1660,6200,False
VC7,23800,0,23800,False
AAS,1641400,819900,2461300,False
CTP,12600,2100,14700,False
HDA,14600,1800,16400,False
DS3,82500,8600,91100,False
CTG,1174350,307180,1481530,False
TVB,42530,1820,44350,False
SFI,6200,700,6900,False
DGW,30240,6010,36250,False
SHB,24308900,8015500,32324400,False
CLC,30,30,60,False
KOS,26510,20,26530,False
KBC,2056030,309400,2365430,False
PC1,186510,16880,203390,False
GAB,120,20,140,False
GMC,9480,80,9560,False
IBC,4860,2280,7140,False
PVD,908470,151910,1060380,False
LEC,70,0,70,False
PVS,7549200,2545400,10094600,False
PTL,1140,70,1210,False
ROS,682210,40090,722300,False
LDG,772090,151290,923380,False
VTO,7790,400,8190,False
MBB,1469330,486160,1955490,False
TNT,52430,11710,64140,False
PVC,276500,95000,371500,False
HSL,12970,3260,16230,False
DPM,282450,25710,308160,False
TXM,200,200,400,False
HHP,37900,12400,50300,False
AAA,201450,36380,237830,False
HHG,619000,387100,1006100,False
VCS,254600,103000,357600,False
AAV,505600,245600,751200,False
TNA,26910,2850,29760,False
SHP,50,10,60,False
LIG,730900,583800,1314700,False
LHC,18200,6300,24500,False
PVT,651130,122020,773150,False
TA9,16300,5400,21700,False
NHA,15070,2890,17960,False
KVC,1591300,345400,1936700,False
GMD,359340,80550,439890,False
IDC,2514800,230400,2745200,False
KSH,1173400,658700,1832100,False
BMP,12430,2480,14910,False
PSH,16920,3100,20020,False
CKG,147620,25880,173500,False
VPB,632520,135120,767640,False
DNM,68200,5900,74100,False
AST,16110,680,16790,False
HTN,9620,3440,13060,False
TBC,550,220,770,False
TLH,49610,2220,51830,False
ATB,182400,18500,200900,False
HDG,142370,17920,160290,False
SHE,2800,1300,4100,False
CAV,90,50,140,False
TCD,500,150,650,False
VCF,30,0,30,False
HHS,576240,102490,678730,False
TVD,33400,4100,37500,False
SSN,44400,28000,72400,False
DST,3116300,469900,3586200,False
AMV,637000,205900,842900,False
TV2,10390,2800,13190,False
TVS,9130,2520,11650,False
VOS,76740,10920,87660,False
MML,8100,4900,13000,False
UDC,3880,1420,5300,False
TCR,1430,520,1950,False
MCG,3620,580,4200,False
SHS,5467600,1153900,6621500,False
NSH,126700,1900,128600,False
GAS,75190,15070,90260,False
ICT,2170,150,2320,False
BSR,8025400,1863100,9888500,False
POW,1011650,212650,1224300,False
BII,1172600,199900,1372500,False
ELC,26710,3150,29860,False
PVB,303400,94200,397600,False
PXI,7100,130,7230,False
IDJ,672200,157800,830000,False
