Stock,Morning,Afternoon,Volume,Filtered
JVC,0,5260,5260,True
VGC,0,12580,12580,True
STG,970,990,1960,True
STP,0,1100,1100,True
VHM,0,5370,5370,True
HUT,0,675000,675000,True
HT1,0,8440,8440,True
VRC,0,8710,8710,True
BCE,0,2920,2920,True
KDH,0,8770,8770,True
NLG,0,14850,14850,True
IDJ,0,133300,133300,True
BVS,0,94900,94900,True
IJC,0,39150,39150,True
EIB,1470,18910,20380,True
NTC,5600,16200,21800,True
BCG,0,21260,21260,True
QTP,140600,225500,366100,True
APS,0,181600,181600,True
VPI,0,1630,1630,True
MSR,0,133900,133900,True
HCM,0,6590,6590,True
HAR,0,14720,14720,True
MQN,0,100,100,True
HAP,1900,3990,5890,True
DAH,0,6030,6030,True
FOC,0,300,300,True
G36,0,170200,170200,True
NAF,4470,6760,11230,True
LTG,0,128900,128900,True
SAB,0,2360,2360,True
DBC,0,6970,6970,True
TDH,0,4330,4330,True
HLD,2800,73500,76300,True
STB,0,40380,40380,True
S99,0,112300,112300,True
FTM,1600,4900,6500,True
NT2,0,8280,8280,True
NVL,0,6780,6780,True
BOT,800,3200,4000,True
BWE,0,4390,4390,True
APG,0,5450,5450,True
TDM,0,6260,6260,True
DC4,330,1090,1420,True
HUB,560,600,1160,True
HVN,0,4390,4390,True
SVN,17400,26800,44200,True
HAG,0,20110,20110,True
OGC,0,3600,3600,True
VPH,3890,3900,7790,True
BCC,2500,229700,232200,True
DCL,0,10770,10770,True
TEG,0,360,360,True
TDC,0,11010,11010,True
CII,0,5010,5010,True
VPS,940,2160,3100,True
VPD,560,1020,1580,True
PET,0,6000,6000,True
PDR,0,17870,17870,True
BMC,0,6790,6790,True
LCG,0,18810,18810,True
NTL,0,6030,6030,True
RDP,620,1510,2130,True
ART,0,479300,479300,True
FLC,0,97660,97660,True
QBS,2450,6250,8700,True
FCM,0,20,20,True
DVN,5000,139600,144600,True
STK,1970,2290,4260,True
DAG,0,5860,5860,True
THT,119500,166400,285900,True
FTS,0,5260,5260,True
VPG,0,12110,12110,True
TDT,54500,66400,120900,True
CRC,1020,3170,4190,True
M10,1400,1500,2900,True
HAI,0,12970,12970,True
KSB,0,8370,8370,True
IDI,0,14040,14040,True
NBB,50,440,490,True
GIL,0,5060,5060,True
PHR,0,7320,7320,True
GEX,0,9500,9500,True
PPC,0,14000,14000,True
APH,0,6110,6110,True
MIG,1610,5900,7510,True
MHC,0,5900,5900,True
DCM,0,10980,10980,True
VHC,0,4310,4310,True
HAH,0,9990,9990,True
VIG,0,195100,195100,True
VIP,0,37840,37840,True
DXG,0,5850,5850,True
HNG,0,8150,8150,True
FCN,0,11420,11420,True
SZC,0,5070,5070,True
STH,0,38100,38100,True
QNS,37800,40900,78700,True
GEG,0,5630,5630,True
VRE,0,4630,4630,True
KHP,3300,3580,6880,True
L14,16600,30600,47200,True
DIG,0,9250,9250,True
SJF,0,8560,8560,True
DHT,1500,6200,7700,True
C47,2120,4000,6120,True
TTF,0,30220,30220,True
CVT,250,910,1160,True
FIR,40,3470,3510,True
TYA,570,660,1230,True
ACV,0,35400,35400,True
SRA,62700,92000,154700,True
CLL,0,60,60,True
TNI,0,5360,5360,True
ITA,0,28150,28150,True
LIX,1200,2530,3730,True
GTN,0,11840,11840,True
YEG,690,750,1440,True
NDN,0,94300,94300,True
IMP,490,570,1060,True
BID,0,6020,6020,True
PXS,750,6960,7710,True
NRC,25500,40800,66300,True
DHC,0,7210,7210,True
PTB,0,8720,8720,True
MCH,21600,34100,55700,True
NHH,0,4170,4170,True
PLP,1830,7030,8860,True
NKG,0,23180,23180,True
PVI,8600,17000,25600,True
TMP,0,20,20,True
TCL,470,1200,1670,True
HSG,0,27920,27920,True
D2D,0,1800,1800,True
HII,0,11020,11020,True
CTI,0,8510,8510,True
DPG,0,5050,5050,True
TAR,0,49500,49500,True
TCM,0,2400,2400,True
SD9,1700,4700,6400,True
SJS,0,5150,5150,True
CNG,1590,3360,4950,True
CLX,1100,2000,3100,True
KLF,0,2331100,2331100,True
GVR,0,9250,9250,True
BIC,0,3270,3270,True
EVG,0,18210,18210,True
INN,500,1300,1800,True
SKG,0,3140,3140,True
DRH,0,10550,10550,True
SMC,0,4110,4110,True
VNM,0,8160,8160,True
HPX,0,20620,20620,True
TCH,0,9380,9380,True
PAS,0,498100,498100,True
PLC,0,74900,74900,True
GKM,1900,109500,111400,True
PGC,1010,1200,2210,True
KSQ,100800,170000,270800,True
LCM,0,2380,2380,True
BMI,0,3480,3480,True
CIA,0,2700,2700,True
ASM,0,6330,6330,True
HVH,1190,5060,6250,True
TGG,0,26670,26670,True
SAV,3280,3730,7010,True
TS4,10,510,520,True
OIL,0,102200,102200,True
ADS,350,1480,1830,True
TSC,0,19770,19770,True
VJC,0,1520,1520,True
VIX,0,23800,23800,True
C32,1030,2100,3130,True
DDG,6800,62900,69700,True
DSN,520,1720,2240,True
MTA,11000,16000,27000,True
ABC,3300,19700,23000,True
VCI,0,8390,8390,True
TTB,0,14890,14890,True
DRI,0,100700,100700,True
SGR,2010,2800,4810,True
TLD,0,3170,3170,True
DHG,310,470,780,True
FPT,0,5290,5290,True
ITS,0,1500,1500,True
ITD,930,1200,2130,True
LSS,0,19940,19940,True
ILB,1320,5640,6960,True
BSI,0,7850,7850,True
PNJ,0,4220,4220,True
PVL,129100,233600,362700,True
KLB,14800,16600,31400,True
VTB,1750,2140,3890,True
CMX,0,4780,4780,True
C69,0,57800,57800,True
C4G,47800,69600,117400,True
FIT,0,8090,8090,True
ANV,160,2230,2390,True
TIG,0,306200,306200,True
EVF,94500,96200,190700,True
LGL,380,9790,10170,True
HDG,0,4970,4970,True
TNG,0,293700,293700,True
TCR,1360,1590,2950,True
DST,0,242400,242400,True
AMV,0,91500,91500,True
TV2,900,3550,4450,True
VOS,0,8250,8250,True
HHS,0,39270,39270,True
GAS,0,1620,1620,True
PAN,0,10780,10780,True
TTZ,1100,29700,30800,True
PVP,0,89100,89100,True
MBB,0,16710,16710,True
LHG,0,3880,3880,True
BFC,970,6230,7200,True
SHS,0,429700,429700,True
BSR,0,259100,259100,True
MBS,0,177200,177200,True
VIC,0,3570,3570,True
QCG,0,3120,3120,True
VDS,0,5180,5180,True
AGR,0,12040,12040,True
VNE,6620,14470,21090,True
CTS,0,7370,7370,True
HDB,0,6080,6080,True
DGC,0,3820,3820,True
SGN,80,180,260,True
HCD,0,13840,13840,True
HPG,0,10970,10970,True
TCW,1000,12000,13000,True
SCS,380,1310,1690,True
POW,0,3790,3790,True
HQC,0,22890,22890,True
ATB,16200,146800,163000,True
SD6,111400,129900,241300,True
AMD,0,44830,44830,True
TLH,0,6220,6220,True
CTG,0,15020,15020,True
VCS,0,70000,70000,True
AAV,0,86900,86900,True
HDA,20200,23200,43400,True
DPM,0,6080,6080,True
DGW,0,3310,3310,True
SFI,630,1040,1670,True
TVB,0,3590,3590,True
SHB,0,1552200,1552200,True
FRT,0,6170,6170,True
BII,0,537000,537000,True
ELC,0,4820,4820,True
PVB,9300,56000,65300,True
KBC,0,17030,17030,True
AAA,0,13550,13550,True
ACL,560,4230,4790,True
TCB,0,10470,10470,True
TVC,0,141800,141800,True
CVN,10800,110100,120900,True
PLX,0,5560,5560,True
GMD,0,6800,6800,True
NHA,650,2080,2730,True
SSI,0,11530,11530,True
CTF,3710,3790,7500,True
PVC,0,106700,106700,True
SHP,0,10,10,True
BVH,0,2670,2670,True
PVT,0,8700,8700,True
ABI,3700,13400,17100,True
LIG,20500,194900,215400,True
AAS,0,187800,187800,True
TNA,0,4240,4240,True
TPB,0,15990,15990,True
CEO,0,570900,570900,True
CTD,0,4790,4790,True
VNS,0,700,700,True
AGG,0,21070,21070,True
MSN,0,3580,3580,True
FMC,0,3040,3040,True
CRE,0,7870,7870,True
HBC,0,21280,21280,True
HAX,1510,4500,6010,True
HTN,740,2450,3190,True
HTL,0,130,130,True
SBT,0,6640,6640,True
CKG,0,8090,8090,True
VPB,0,6500,6500,True
DNM,13300,20800,34100,True
DDN,0,1000,1000,True
BMP,0,7150,7150,True
CCL,0,6500,6500,True
MPT,82700,303100,385800,True
AGP,0,500,500,True
CMG,0,2970,2970,True
THG,150,410,560,True
PHP,1900,4300,6200,True
LDG,0,15260,15260,True
ROS,0,7670,7670,True
PTL,660,840,1500,True
BTD,0,2000,2000,True
BCM,50,2200,2250,True
DAT,10,90,100,True
QNC,10600,18600,29200,True
PVS,0,218800,218800,True
PVD,0,10480,10480,True
DHM,0,27200,27200,True
MBG,0,309900,309900,True
SWC,27600,43700,71300,True
VHE,103900,129400,233300,True
KSH,19700,338100,357800,True
PC1,0,6680,6680,True
IDC,0,162100,162100,True
NCT,590,1330,1920,True
MWG,0,3070,3070,True
VCB,0,5050,5050,True
SCR,0,20570,20570,True
SBV,2310,4520,6830,True
SAM,0,9410,9410,True
TDP,4450,5920,10370,True
DRC,0,13590,13590,True
DLG,0,42700,42700,True
VND,0,11800,11800,True
HDC,0,6990,6990,True
CTR,0,94000,94000,True
NVB,0,775800,775800,True
KDC,0,3870,3870,True
REE,0,3170,3170,True
TTH,60700,155400,216100,True
PXT,8640,6330,14970,False
SHN,45700,0,45700,False
ACC,2740,380,3120,False
SRC,4280,60,4340,False
POM,3540,1810,5350,False
PTS,22500,5600,28100,False
PWA,50000,28500,78500,False
LEC,50,0,50,False
DS3,89700,59700,149400,False
ITQ,101800,70600,172400,False
AMS,3500,100,3600,False
SJE,3000,1100,4100,False
CTP,17500,1500,19000,False
TCT,1700,80,1780,False
VC7,14600,5300,19900,False
MLS,34600,1000,35600,False
SFG,3310,20,3330,False
TMS,710,320,1030,False
NSC,600,370,970,False
ITC,4130,2670,6800,False
HID,20970,2020,22990,False
KOS,4050,90,4140,False
DHA,1020,690,1710,False
PAC,100,0,100,False
GAB,370,0,370,False
EVE,510,360,870,False
DPR,830,830,1660,False
SJD,2610,1370,3980,False
SD5,22000,0,22000,False
CLH,1600,1000,2600,False
CMS,11400,5200,16600,False
FID,321800,63700,385500,False
SPI,88700,38400,127100,False
VMC,21300,11900,33200,False
CAP,16500,900,17400,False
SHA,5630,1420,7050,False
SDT,184700,89700,274400,False
TVT,1520,0,1520,False
PXL,135500,34600,170100,False
TAC,1400,430,1830,False
DRL,440,120,560,False
VC9,1400,900,2300,False
DQC,2440,260,2700,False
TN1,110,60,170,False
ABS,1260,1140,2400,False
CLC,2390,0,2390,False
BDG,2900,0,2900,False
RAL,680,410,1090,False
VNG,6780,1980,8760,False
ACM,91300,51000,142300,False
PME,10,0,10,False
PVG,16200,13300,29500,False
UIC,140,60,200,False
KMR,3560,670,4230,False
NNC,1150,820,1970,False
TLG,2950,2520,5470,False
VKC,30200,3700,33900,False
HTI,4070,500,4570,False
DMC,510,370,880,False
RIC,440,0,440,False
WCS,500,100,600,False
BVG,90500,71500,162000,False
CEN,17100,0,17100,False
TDG,6870,3780,10650,False
SBA,130,100,230,False
CSC,51900,5600,57500,False
DBD,3360,1740,5100,False
AGM,760,80,840,False
HAD,17100,100,17200,False
TMT,290,90,380,False
CDC,2260,940,3200,False
TDN,64900,32800,97700,False
MFS,34600,10300,44900,False
VIT,34600,2900,37500,False
SCD,1430,280,1710,False
BAX,11600,2800,14400,False
HTM,15900,2200,18100,False
NVT,20,0,20,False
PGN,8200,5000,13200,False
PGS,27600,23100,50700,False
ICT,2830,1410,4240,False
CDO,99000,21300,120300,False
IDV,9400,8000,17400,False
DTD,45200,27800,73000,False
BTP,100,10,110,False
YBM,180,50,230,False
TIP,2750,1470,4220,False
BTS,15500,2500,18000,False
PHC,2060,400,2460,False
TDS,1000,0,1000,False
DZM,10300,3000,13300,False
HND,115300,90700,206000,False
HCC,5600,4900,10500,False
VIS,10,10,20,False
FOX,1900,1700,3600,False
HAN,34400,400,34800,False
ASP,6200,850,7050,False
ASG,90,60,150,False
MPC,13100,3200,16300,False
NBC,120000,42900,162900,False
API,64900,16800,81700,False
VSH,1940,900,2840,False
CSV,3310,1810,5120,False
AST,2240,770,3010,False
DXP,44600,29500,74100,False
GMC,2890,1260,4150,False
PSH,4570,1680,6250,False
SZB,10200,7600,17800,False
NSH,53600,26300,79900,False
MCG,2280,300,2580,False
MML,25200,5300,30500,False
VSC,2750,1420,4170,False
KVC,548000,164400,712400,False
GDT,330,60,390,False
LAS,94100,21700,115800,False
NTP,26900,4000,30900,False
LHC,4400,200,4600,False
CET,20700,2100,22800,False
SD2,3400,100,3500,False
HHP,60100,5900,66000,False
VGS,35400,32400,67800,False
HHG,279200,32600,311800,False
TXM,700,400,1100,False
SCI,115600,11300,126900,False
VC3,70100,67300,137400,False
TA9,15000,11700,26700,False
SMB,7880,20,7900,False
TBC,850,620,1470,False
HSL,2760,2150,4910,False
PXI,1630,500,2130,False
UDC,70,0,70,False
NAG,15600,2800,18400,False
PMG,1780,0,1780,False
ILA,15000,0,15000,False
SHI,35660,6850,42510,False
EID,25400,1000,26400,False
DBT,1560,410,1970,False
TVD,26200,500,26700,False
MST,110200,31000,141200,False
TRA,620,70,690,False
SZL,1070,390,1460,False
HOM,31500,0,31500,False
SSN,5400,1200,6600,False
TVS,880,200,1080,False
VCF,50,0,50,False
CIG,1700,200,1900,False
CAV,60,0,60,False
TCD,160,0,160,False
PSD,16900,16000,32900,False
VTO,4080,70,4150,False
TNT,12130,1390,13520,False
APC,2100,1780,3880,False
CHP,3550,310,3860,False
SLS,19900,4800,24700,False
SHE,6100,5000,11100,False
ORS,67100,26500,93600,False
HAT,1100,800,1900,False
PVV,150100,135700,285800,False
DVP,2170,60,2230,False
CSM,1600,1550,3150,False
BHN,330,10,340,False
AFX,39000,33600,72600,False
IBC,12470,1680,14150,False
