Stock,Gap,B,S
TCH,7494,9602,2108
HPG,3763,7566,3803
STB,1451,3637,2186
VHM,1162,3886,2724
PNJ,983,2240,1257
TCB,771,3762,2991
JVC,668,976,308
VPB,632,1853,1221
NVL,580,946,366
PHR,563,985,422
BSR,563,763,200
FPT,492,1980,1488
SSI,486,1814,1328
HCM,484,1725,1241
POW,442,1623,1181
DGW,434,841,407
ITA,402,1431,1029
DST,398,412,14
CII,385,996,611
ACB,383,798,415
TDH,363,903,540
FLC,319,1413,1094
CTD,298,889,591
TDM,298,658,360
VIX,288,508,220
SCR,287,610,323
TCM,260,538,278
VJC,247,642,395
TV2,235,403,168
SHB,229,358,129
VRE,218,1468,1250
GAS,206,1435,1229
CSV,202,380,178
REE,193,619,426
APH,186,480,294
DHC,184,329,145
TVC,179,348,169
MWG,163,1375,1212
NVB,163,177,14
VIP,162,329,167
AAA,160,540,380
NTL,159,482,323
GTN,151,1072,921
SCS,150,190,40
NDN,146,234,88
CRE,142,247,105
TIG,138,205,67
ASM,133,849,716
VGI,130,522,392
ACV,130,229,99
PET,128,608,480
PXS,128,239,111
VCG,127,209,82
D2D,124,528,404
VNM,121,1864,1743
KDC,120,203,83
TAC,118,205,87
TSC,117,243,126
OGC,115,294,179
VTP,115,223,108
CCL,114,224,110
PVS,110,471,361
APG,108,178,70
TDC,107,282,175
PLX,104,764,660
HNG,102,768,666
TNA,94,159,65
PVC,93,119,26
ITD,92,115,23
TLH,86,283,197
PDR,85,492,407
LCG,82,660,578
DAG,81,181,100
VLC,78,131,53
CTF,74,95,21
AMV,72,171,99
BCG,70,305,235
STK,67,124,57
PAN,63,238,175
NHH,60,71,11
LIG,59,92,33
PTB,58,291,233
PGN,57,79,22
HDC,55,391,336
VGC,52,158,106
TCW,52,74,22
TIP,51,173,122
CTI,50,194,144
G36,47,158,111
TNG,45,219,174
GIL,43,376,333
MST,42,68,26
FCN,41,418,377
NKG,40,1379,1339
HSL,40,112,72
CRC,40,91,51
PFL,39,57,18
IDC,38,104,66
GMD,36,391,355
DVN,36,109,73
VCP,32,37,5
AGG,31,173,142
SAM,31,69,38
PSD,31,51,20
VCB,30,1065,1035
CEO,30,128,98
SMB,30,33,3
PHC,29,64,35
VCS,28,120,92
VPI,28,88,60
ABS,27,57,30
DTD,26,65,39
VIG,25,42,17
DIG,24,541,517
DXP,24,86,62
IMP,24,65,41
AAV,24,43,19
BII,24,34,10
VC3,24,32,8
OIL,23,72,49
SIP,22,130,108
GKM,22,23,1
CKG,21,121,100
HLD,21,88,67
HHP,21,79,58
IBC,21,25,4
VEA,20,92,72
SRC,20,70,50
BCC,20,54,34
VRC,20,48,28
FIR,19,62,43
DQC,19,55,36
DHM,19,53,34
NTC,19,50,31
SFG,19,48,29
ORS,19,33,14
HID,18,31,13
FIT,17,246,229
LAS,17,56,39
HUT,16,71,55
LSS,15,133,118
DVP,15,38,23
THG,15,33,18
DRI,14,44,30
CTR,13,323,310
NRC,13,57,44
IDV,13,26,13
SD9,13,20,7
MCH,12,60,48
ART,12,39,27
PXT,12,29,17
BTD,12,20,8
SHS,11,348,337
HII,11,63,52
BIC,11,42,31
KDF,11,26,15
BMC,10,21,11
KSH,10,19,9
ADS,10,18,8
QCG,9,251,242
HAI,9,207,198
EVG,9,87,78
DSN,9,22,13
HAR,8,143,135
APC,8,27,19
TDT,8,18,10
PAC,8,14,6
LTG,7,403,396
VGS,7,48,41
PSH,7,23,16
CIA,7,8,1
KDH,6,587,581
MBS,6,27,21
HQC,5,417,412
NNC,5,97,92
ADG,5,39,34
VOS,5,36,31
SRA,5,36,31
TDN,5,18,13
SLS,5,17,12
BWE,4,325,321
TAR,4,267,263
BMP,4,247,243
NLG,4,165,161
SHI,4,62,58
NHA,4,45,41
DCL,4,32,28
GDT,4,21,17
SFI,4,10,6
PVL,4,10,6
SKG,3,191,188
PVB,3,45,42
IDJ,3,40,37
C69,3,22,19
VNA,3,8,5
CMS,3,7,4
DPG,2,351,349
PLP,2,105,103
KMR,2,40,38
HPX,2,35,33
EVF,2,26,24
TYA,2,21,19
LGL,2,14,12
HND,2,11,9
FOX,2,7,5
TN1,2,2,0
DMC,1,58,57
NTP,1,34,33
SGP,1,26,25
MML,1,16,15
CTP,1,10,9
EVE,1,10,9
SD6,1,7,6
SHA,1,6,5
DHT,1,4,3
KLB,1,4,3
SKH,1,2,1
VRG,0,10,10
SDT,0,3,3
BOT,0,3,3
TXM,0,1,1
ANV,-1,239,240
VOC,-1,53,54
STH,-1,27,28
VTD,-1,23,24
DNM,-1,22,23
VSH,-1,18,19
KLF,-1,16,17
SSN,-1,11,12
ABI,-1,11,12
TTH,-1,8,9
PVV,-1,4,5
TVS,-1,2,3
TTZ,-1,2,3
SD5,-2,6,8
VHE,-2,3,5
ITQ,-2,3,5
MPT,-2,2,4
KOS,-3,24,27
YEG,-3,20,23
MFS,-3,8,11
ASP,-3,7,10
QTP,-3,4,7
HAD,-3,2,5
SPI,-3,1,4
MSH,-4,113,117
DDG,-4,57,61
PVP,-4,40,44
SBV,-4,32,36
PXL,-4,14,18
TPB,-5,527,532
VPH,-5,21,26
SNZ,-5,13,18
CSM,-5,13,18
DTA,-5,4,9
NBB,-5,2,7
PLC,-6,96,102
MPC,-6,39,45
SWC,-6,16,22
SGR,-6,3,9
DS3,-6,2,8
MBG,-7,39,46
CHP,-7,18,25
S99,-7,2,9
BMI,-8,189,197
QBS,-8,20,28
TNT,-8,15,23
SMC,-9,99,108
CLG,-9,16,25
PWA,-10,89,99
NSC,-10,57,67
QNS,-10,29,39
PPC,-11,82,93
GAB,-11,25,36
ASG,-11,17,28
AFX,-12,40,52
NCT,-12,14,26
BAX,-12,3,15
AST,-13,260,273
DHA,-13,26,39
ABC,-13,24,37
VTR,-13,11,24
VNP,-13,8,21
C4G,-14,74,88
SJS,-14,44,58
MLS,-14,22,36
ACM,-14,1,15
AAS,-15,20,35
PC1,-16,133,149
SBT,-17,589,606
PVI,-17,16,33
VCI,-18,419,437
SEA,-18,26,44
TTN,-18,26,44
HDA,-18,26,44
TBC,-19,4,23
TVN,-20,54,74
LIX,-21,101,122
SZL,-21,34,55
VNG,-22,63,85
TVB,-23,97,120
SJD,-23,57,80
VNE,-23,12,35
HCD,-24,31,55
CNG,-24,17,41
VGT,-25,50,75
BVS,-25,20,45
DPR,-25,19,44
PGS,-25,12,37
MSR,-26,87,113
FTM,-26,21,47
HDG,-27,540,567
TCT,-27,10,37
TLG,-29,118,147
MHC,-29,44,73
SBS,-29,0,29
DLG,-30,162,192
SAV,-30,13,43
KHP,-31,29,60
DBC,-33,812,845
L14,-33,22,55
CMX,-34,267,301
VCR,-34,79,113
DAH,-36,195,231
ACL,-36,31,67
CVN,-36,18,54
DRC,-37,329,366
CMG,-37,33,70
SZC,-38,659,697
C47,-38,34,72
IDI,-39,454,493
BCM,-39,16,55
HVH,-40,63,103
SBA,-40,14,54
TCL,-41,94,135
VSC,-41,67,108
ELC,-41,58,99
VND,-42,811,853
KBC,-42,452,494
TGG,-43,58,101
AGM,-45,24,69
AMD,-46,146,192
HAH,-47,104,151
ILB,-47,53,100
AGR,-53,162,215
HBC,-54,1418,1472
FRT,-61,316,377
HAX,-62,192,254
GEG,-65,204,269
TDG,-65,51,116
BVH,-66,635,701
TNI,-66,60,126
C32,-66,28,94
DBD,-69,15,84
HHS,-71,421,492
SJF,-73,90,163
CTS,-74,166,240
BSI,-74,32,106
LHG,-77,192,269
POM,-77,30,107
FMC,-81,132,213
EIB,-85,77,162
HAP,-89,298,387
IJC,-90,254,344
TTB,-92,155,247
NT2,-92,64,156
PAS,-94,88,182
VIB,-111,223,334
FTS,-111,94,205
VHC,-112,347,459
SAB,-116,216,332
PVD,-126,944,1070
NAF,-126,57,183
BFC,-129,91,220
VPG,-135,294,429
HVN,-139,414,553
TTF,-190,921,1111
DRH,-202,279,481
PVT,-205,438,643
LDG,-220,1219,1439
DGC,-228,289,517
HTN,-241,123,364
TLD,-253,168,421
VIC,-255,760,1015
MSN,-263,877,1140
DPM,-283,447,730
KSB,-296,387,683
CVT,-297,0,297
BID,-307,680,987
HDB,-347,926,1273
DXG,-400,1069,1469
MBB,-416,1447,1863
HT1,-423,272,695
GVR,-446,895,1341
DCM,-459,696,1155
ROS,-506,317,823
CTG,-598,1583,2181
GEX,-779,1741,2520
HAG,-941,761,1702
HSG,-1366,3283,4649
