Stock,Gap,B,S
ACB,1228,4980,3752
TCB,1197,4063,2866
NVL,1103,1943,840
GTN,904,2822,1918
HDG,889,1685,796
VCB,786,1665,879
IDI,778,1617,839
BSR,715,1092,377
ASM,712,1362,650
HDB,697,1801,1104
BID,673,2435,1762
VJC,658,875,217
AAA,634,1468,834
FPT,524,1883,1359
DLG,483,1148,665
PLX,473,1326,853
SSI,436,3039,2603
STB,413,2451,2038
PVT,409,1693,1284
CTD,403,1165,762
VHC,348,1318,970
SHB,347,706,359
HQC,315,926,611
APH,289,438,149
TIG,277,333,56
KSB,273,986,713
DBC,265,889,624
VRE,257,2232,1975
OIL,256,376,120
CEO,251,392,141
PDR,237,695,458
GIL,215,466,251
JVC,214,576,362
KDC,190,810,620
VIX,188,348,160
VPB,172,955,783
VHM,171,1414,1243
TCM,162,320,158
ACV,159,248,89
DPG,158,687,529
ART,155,230,75
HCM,154,1562,1408
TSC,148,579,431
DAG,139,417,278
BMP,131,376,245
AST,130,236,106
ANV,129,469,340
DHM,125,194,69
HHS,123,460,337
BSI,121,249,128
G36,121,215,94
POM,120,120,0
FIT,119,558,439
HAI,112,306,194
NVB,109,200,91
HSG,108,2294,2186
D2D,108,486,378
NAF,107,329,222
DRC,105,521,416
DRH,105,521,416
PPC,104,223,119
C4G,100,166,66
TV2,92,309,217
PC1,92,297,205
HII,89,138,49
CKG,85,470,385
SBS,84,137,53
PHC,81,152,71
ORS,79,93,14
HAR,76,361,285
TVC,75,174,99
BMI,72,435,363
DQC,72,110,38
HHP,70,114,44
QNS,69,132,63
GVR,67,1478,1411
BCC,66,98,32
GAS,63,806,743
FTS,60,362,302
AAS,58,151,93
APG,57,248,191
HLD,54,110,56
AAV,54,98,44
VNM,53,2069,2016
MSH,50,162,112
DGW,49,392,343
EIB,49,116,67
CTS,48,535,487
ABS,48,188,140
CRC,48,101,53
TCT,45,92,47
TLD,43,287,244
NHH,43,96,53
NHA,43,57,14
TPB,42,992,950
PXL,42,85,43
MBS,41,97,56
TTF,40,861,821
TLG,40,165,125
ACL,39,140,101
SRA,39,115,76
TAR,37,288,251
DVN,37,121,84
TNG,36,265,229
PVC,36,46,10
DST,35,84,49
SZL,34,75,41
KMR,33,71,38
PWA,30,84,54
LTG,29,224,195
VTP,29,93,64
HVH,29,85,56
TGG,29,77,48
SJD,29,58,29
VC3,29,38,9
KSH,29,37,8
NCT,28,44,16
VIP,27,165,138
AFX,27,59,32
PXS,26,62,36
PVS,25,437,412
HUT,25,214,189
DVP,25,42,17
CTF,25,31,6
CSM,23,51,28
NDN,21,77,56
SHS,20,389,369
NNC,20,64,44
TDT,20,46,26
BII,20,31,11
ACM,20,31,11
PVV,20,21,1
DTD,19,60,41
VOC,18,78,60
SFI,18,34,16
SBA,18,30,12
MLS,18,22,4
VCS,16,149,133
AGM,16,40,24
SIP,14,107,93
VCG,14,66,52
GKM,14,15,1
PLC,13,106,93
HPX,13,44,31
C69,13,35,22
VLC,13,29,16
BIC,12,195,183
TTH,12,20,8
APC,11,89,78
TTN,11,30,19
ADS,11,11,0
LHG,10,348,338
KDF,10,97,87
VHE,10,15,5
VOS,9,220,211
HAP,9,170,161
VNG,9,65,56
DMC,9,63,54
ASP,9,41,32
VNA,9,33,24
DNM,9,22,13
PSH,9,22,13
CMS,9,15,6
KLB,9,15,6
TXM,9,11,2
KLF,8,47,39
VIG,8,31,23
VCP,8,10,2
SHI,7,22,15
PVP,7,21,14
ABI,7,17,10
TVS,7,13,6
VNE,6,52,46
LAS,6,43,37
TYA,6,23,17
BOT,6,8,2
EVG,5,221,216
IDC,5,180,175
PGN,5,40,35
IDJ,5,39,34
TNT,5,23,18
PFL,5,22,17
SHA,5,15,10
CTP,5,11,6
IBC,5,9,4
SPI,5,5,0
CVN,4,85,81
SSN,4,43,39
NRC,4,32,28
SGP,4,27,23
PVL,4,15,11
TCW,4,14,10
MPT,4,7,3
FIR,3,45,42
STH,3,30,27
LGL,3,29,26
KHP,3,19,16
PGS,3,19,16
SWC,3,17,14
CIA,3,9,6
SKH,3,7,4
S99,3,7,4
KDH,2,392,390
EVE,2,55,53
VNP,2,39,37
SLS,2,15,13
QTP,2,13,11
DTA,2,9,7
SD6,2,9,7
CNG,1,20,19
SDT,1,13,12
BTD,1,9,8
DHT,1,7,6
ITQ,1,2,1
VSC,0,163,163
ITD,0,36,36
DSN,0,33,33
HND,0,19,19
SNZ,0,19,19
IDV,0,14,14
DS3,0,4,4
SD9,0,0,0
ELC,-1,172,173
TNA,-1,170,171
TDG,-1,168,169
DXP,-1,53,54
CHP,-1,13,14
TN1,-1,4,5
TTZ,-1,3,4
TAC,-2,37,39
VSH,-2,18,20
FOX,-2,7,9
VPH,-3,39,42
HID,-3,19,22
SD5,-3,5,8
SDD,-3,0,3
EVF,-4,41,45
MFS,-4,20,24
THG,-4,19,23
VTD,-4,16,20
PSD,-4,15,19
TBC,-4,14,18
L14,-4,14,18
TDN,-4,4,8
AMD,-5,300,305
DPR,-5,70,75
DDG,-5,61,66
MST,-5,45,50
SAV,-5,27,32
ABC,-5,9,14
PVI,-5,8,13
SFG,-5,5,10
HAD,-5,3,8
FTM,-6,52,58
VCR,-6,31,37
SEA,-6,4,10
BAX,-7,3,10
PVD,-8,1364,1372
PET,-8,502,510
REE,-8,382,390
NSC,-8,35,43
CLG,-8,23,31
SBV,-8,19,27
NBB,-8,2,10
QCG,-9,164,173
HDA,-9,28,37
SMB,-9,7,16
DRI,-10,73,83
DCL,-10,58,68
VPI,-10,24,34
PAC,-10,21,31
VGS,-11,26,37
SGR,-12,10,22
HVN,-13,465,478
VRG,-13,7,20
TIP,-15,77,92
ADG,-15,19,34
SAM,-17,47,64
GAB,-17,10,27
TVN,-18,23,41
PXT,-18,18,36
GDT,-19,7,26
VGT,-20,23,43
MML,-20,8,28
PVB,-23,62,85
DHA,-23,20,43
ILB,-24,52,76
HCD,-24,22,46
IMP,-25,91,116
AMV,-25,79,104
BMC,-26,39,65
NTP,-26,34,60
DBD,-26,26,52
CMX,-27,295,322
MCH,-27,12,39
HT1,-28,530,558
PAS,-28,79,107
TVB,-29,107,136
NTC,-29,28,57
LIG,-30,67,97
KOS,-30,11,41
YEG,-31,24,55
TNI,-32,95,127
MHC,-35,31,66
ASG,-35,13,48
FMC,-36,214,250
PLP,-36,158,194
LIX,-36,68,104
VGC,-37,203,240
POW,-38,2414,2452
CVT,-38,54,92
MPC,-39,41,80
FCN,-41,242,283
VTR,-41,17,58
QBS,-42,24,66
SBT,-44,434,478
CRE,-44,187,231
MSR,-45,89,134
VGI,-47,164,211
SMC,-52,84,136
DHC,-52,76,128
MBG,-53,76,129
SRC,-53,33,86
MWG,-58,726,784
HSL,-61,55,116
PTB,-62,201,263
SCS,-64,33,97
CTI,-69,263,332
HAH,-72,317,389
CSV,-72,132,204
CCL,-73,74,147
VRC,-75,56,131
C47,-78,60,138
BCG,-80,297,377
SKG,-80,58,138
HTN,-81,155,236
VEA,-82,121,203
SJS,-83,45,128
VPG,-84,163,247
BVH,-90,888,978
CTR,-90,196,286
SZC,-93,489,582
TTB,-93,107,200
BFC,-94,151,245
TLH,-95,134,229
TDC,-100,110,210
LSS,-100,94,194
AGG,-102,438,540
HAG,-104,1122,1226
BWE,-104,419,523
IJC,-105,160,265
SAB,-111,286,397
BCM,-111,60,171
DAH,-112,92,204
DCM,-113,799,912
AGR,-117,218,335
NLG,-118,345,463
GEG,-118,238,356
NKG,-121,1190,1311
PNJ,-126,463,589
STK,-126,61,187
MSN,-129,685,814
PAN,-136,321,457
C32,-136,113,249
TCL,-140,121,261
HAX,-142,106,248
HDC,-144,430,574
KBC,-147,504,651
TDM,-152,190,342
BVS,-153,139,292
CII,-191,574,765
OGC,-194,175,369
DGC,-196,307,503
LCG,-201,713,914
VIB,-232,245,477
ROS,-250,480,730
DIG,-252,792,1044
NT2,-266,498,764
GEX,-274,1513,1787
PHR,-279,391,670
CTG,-308,1414,1722
NTL,-329,283,612
LDG,-358,994,1352
VIC,-378,710,1088
FRT,-384,675,1059
SCR,-409,475,884
VCI,-420,549,969
SJF,-420,189,609
DXG,-429,1093,1522
TDH,-455,967,1422
GMD,-604,788,1392
CMG,-616,89,705
DPM,-670,598,1268
FLC,-673,839,1512
ITA,-709,1202,1911
VND,-714,861,1575
HBC,-715,1316,2031
HNG,-727,604,1331
MBB,-820,1736,2556
HPG,-1242,3150,4392
TCH,-3262,4963,8225
