Stock,Gap,B,S
VNM,2900,6394,3494
GMD,767,2283,1516
VIC,560,1662,1102
CEO,476,816,340
G36,444,686,242
NVL,416,1715,1299
DBC,404,1546,1142
VJC,371,772,401
KDH,349,1050,701
APH,324,514,190
TV2,312,602,290
DAG,226,414,188
POM,176,307,131
VIX,164,346,182
NVB,157,197,40
MSH,154,361,207
CTD,151,1031,880
REE,134,515,381
TIG,131,162,31
HAG,112,1953,1841
SKG,103,417,314
ORS,97,126,29
HVH,96,182,86
LHG,93,300,207
OIL,91,178,87
DHC,88,211,123
VSC,87,327,240
TVC,83,151,68
SHB,82,490,408
VIG,82,101,19
C32,81,393,312
NHH,70,124,54
PDR,66,635,569
NLG,64,370,306
HUT,64,146,82
APG,63,253,190
AAV,61,110,49
HNG,60,667,607
PAS,60,111,51
ACV,52,210,158
CRC,51,130,79
HHP,50,74,24
CII,48,718,670
HDG,46,842,796
SRA,46,123,77
VGT,45,107,62
DVN,44,326,282
NAF,44,325,281
CTF,40,51,11
VCP,38,42,4
DRI,37,132,95
STK,37,77,40
VOS,33,334,301
HPX,32,62,30
VC3,29,40,11
KDF,28,99,71
CSM,28,57,29
TDH,26,1512,1486
GAB,26,35,9
SIP,25,145,120
TAR,24,159,135
PWA,22,116,94
MBG,22,76,54
TDT,22,34,12
PVS,20,417,397
VTR,20,77,57
KSH,19,26,7
AST,18,173,155
PHC,18,76,58
AFX,17,66,49
DST,17,57,40
VNG,15,96,81
VRG,15,47,32
DXP,14,104,90
IBC,14,30,16
ITD,14,27,13
STH,13,53,40
PFL,13,25,12
FIR,12,45,33
ASG,12,25,13
CTP,12,20,8
C4G,11,108,97
BCM,11,79,68
DSN,11,33,22
VTD,11,17,6
GKM,11,11,0
DHM,10,100,90
KLF,9,60,51
TTZ,9,11,2
IDC,8,182,174
ADG,8,45,37
THG,8,26,18
SBV,8,26,18
KLB,8,23,15
PLX,7,684,677
SFI,7,21,14
TCT,6,56,50
BOT,5,10,5
TBC,5,6,1
TN1,5,6,1
ADS,5,5,0
NHA,4,52,48
PSH,4,21,17
DHT,4,8,4
ITQ,4,7,3
SHA,4,4,0
AAS,3,110,107
L14,3,27,24
DTA,3,13,10
TTH,3,13,10
MPT,3,8,5
PXL,2,47,45
HLD,2,37,35
SGR,2,17,15
SBA,2,14,12
DS3,2,8,6
HAD,2,2,0
SJD,1,61,60
SCS,1,44,43
PVC,1,33,32
VNP,1,21,20
BTD,1,12,11
TDN,1,12,11
PVL,1,6,5
CMS,1,3,2
IDJ,0,57,57
NCT,0,28,28
FOX,0,8,8
DNM,0,7,7
TYA,0,6,6
S99,0,4,4
SDD,0,0,0
VRC,-1,165,166
DTD,-1,63,64
SMB,-1,21,22
VPI,-1,21,22
NRC,-1,17,18
TVS,-1,4,5
AGM,-2,27,29
SNZ,-2,22,24
MML,-2,19,21
PVV,-2,7,9
SPI,-2,5,7
SD9,-2,0,2
LAS,-3,46,49
ACM,-3,18,21
MCH,-3,17,20
QTP,-3,8,11
VHE,-3,6,9
BCC,-4,110,114
CVT,-4,62,66
PGS,-4,44,48
NTC,-4,21,25
PSD,-4,11,15
PVP,-4,5,9
TXM,-4,3,7
SDT,-4,2,6
SKH,-4,1,5
CCL,-5,195,200
C69,-5,26,31
MLS,-5,10,15
CIA,-5,10,15
GDT,-5,8,13
SWC,-5,5,10
SFG,-5,5,10
AMD,-6,254,260
DQC,-6,36,42
VGS,-6,21,27
KHP,-6,19,25
ABI,-6,6,12
PVI,-6,5,11
PXT,-6,4,10
NBB,-6,0,6
HND,-7,29,36
PGN,-7,28,35
ASP,-7,24,31
SSN,-7,20,27
MST,-7,19,26
PXS,-8,48,56
SLS,-8,11,19
IDV,-8,4,12
SGP,-9,27,36
MFS,-9,17,26
PAC,-9,4,13
SD6,-10,8,18
TCW,-10,6,16
VEA,-11,171,182
ABS,-11,152,163
MPC,-11,29,40
SD5,-11,4,15
SHI,-12,35,47
CHP,-12,6,18
ART,-13,82,95
FTM,-13,32,45
ABC,-13,8,21
CLG,-14,12,26
BII,-14,11,25
TNT,-14,6,20
VOC,-15,110,125
LIG,-15,41,56
MBS,-15,37,52
VLC,-15,29,44
MHC,-15,10,25
DPR,-16,33,49
EVF,-16,22,38
SEA,-17,5,22
CVN,-18,87,105
SAM,-19,17,36
BAX,-19,5,24
VNA,-21,11,32
NTL,-22,269,291
DHA,-22,30,52
TGG,-22,28,50
SRC,-22,26,48
TVN,-22,17,39
TTN,-22,3,25
HSL,-23,112,135
HII,-23,66,89
DDG,-23,60,83
ILB,-23,44,67
HDA,-24,28,52
VPH,-24,23,47
HID,-24,21,45
VCS,-25,188,213
VCG,-26,32,58
DCL,-27,52,79
VNE,-27,27,54
QBS,-28,21,49
NTP,-28,17,45
APC,-29,42,71
TNA,-31,78,109
HCD,-31,33,64
BMC,-31,14,45
LTG,-32,102,134
VCR,-32,21,53
TSC,-34,276,310
CNG,-34,15,49
EVG,-37,149,186
ACL,-37,61,98
DVP,-37,49,86
EIB,-38,70,108
BSI,-39,146,185
DBD,-42,13,55
C47,-43,68,111
GIL,-44,291,335
HTN,-44,224,268
MSR,-44,57,101
KMR,-46,44,90
SZL,-46,22,68
VSH,-46,7,53
SBS,-46,0,46
AMV,-48,49,97
PVB,-49,34,83
LGL,-50,13,63
QNS,-51,50,101
TAC,-51,15,66
NSC,-54,18,72
EVE,-54,14,68
SAV,-55,4,59
YEG,-57,15,72
TCM,-58,453,511
VTP,-64,29,93
DRC,-67,323,390
ELC,-68,117,185
NNC,-69,80,149
PLC,-70,130,200
CRE,-73,131,204
CTR,-76,235,311
BVS,-77,113,190
IMP,-80,77,157
VCB,-81,812,893
PTB,-81,121,202
PLP,-83,146,229
TTB,-83,116,199
FIT,-86,309,395
SMC,-86,24,110
DAH,-87,79,166
DMC,-88,44,132
GEG,-89,216,305
LSS,-92,81,173
VPG,-93,113,206
TDG,-94,59,153
BSR,-96,345,441
PC1,-96,116,212
NDN,-96,49,145
VIP,-97,32,129
IDI,-98,927,1025
TLG,-99,82,181
MWG,-101,952,1053
TVB,-101,129,230
VGI,-103,301,404
TNI,-103,60,163
KOS,-103,31,134
HAI,-104,315,419
TCL,-104,252,356
ANV,-104,188,292
TNG,-105,182,287
VPB,-106,919,1025
TIP,-106,21,127
TLD,-114,208,322
HAP,-115,86,201
HQC,-117,350,467
CMG,-120,116,236
BIC,-120,30,150
FTS,-121,171,292
CKG,-127,507,634
PAN,-128,303,431
HDC,-130,308,438
CSV,-142,105,247
TCH,-143,678,821
DGW,-144,361,505
CMX,-144,224,368
SAB,-145,131,276
SJS,-146,64,210
PPC,-153,148,301
TPB,-157,474,631
VGC,-157,72,229
KDC,-158,336,494
TLH,-160,161,321
JVC,-165,132,297
SSI,-171,2113,2284
LIX,-171,52,223
AGR,-182,1165,1347
AGG,-192,387,579
VHC,-193,416,609
CTI,-196,160,356
QCG,-201,167,368
SBT,-202,384,586
NT2,-202,195,397
TDC,-203,80,283
IJC,-207,230,437
FCN,-210,280,490
TTF,-215,497,712
PNJ,-216,654,870
CTG,-219,1787,2006
FPT,-221,1274,1495
HAR,-223,128,351
DGC,-242,253,495
BFC,-252,183,435
BMI,-252,175,427
BMP,-252,165,417
SHS,-256,209,465
MBB,-264,2269,2533
BID,-271,2045,2316
LDG,-273,1594,1867
HCM,-281,1081,1362
DLG,-288,373,661
DPG,-289,287,576
D2D,-289,167,456
HVN,-298,320,618
BWE,-311,242,553
OGC,-311,192,503
SCR,-316,484,800
HAX,-329,147,476
BCG,-331,342,673
CTS,-335,208,543
TDM,-345,168,513
KSB,-346,938,1284
SJF,-351,255,606
DCM,-354,701,1055
DRH,-383,371,754
VHM,-384,1443,1827
FLC,-394,883,1277
VCI,-402,846,1248
ROS,-404,402,806
AAA,-416,414,830
VIB,-417,199,616
ASM,-456,931,1387
DPM,-463,917,1380
HAH,-498,495,993
PET,-500,537,1037
FMC,-552,302,854
GTN,-585,931,1516
SZC,-604,359,963
KBC,-605,437,1042
HDB,-625,976,1601
VRE,-640,2257,2897
HT1,-650,507,1157
PVT,-660,523,1183
VND,-665,767,1432
FRT,-677,677,1354
GVR,-682,812,1494
HHS,-696,335,1031
GAS,-726,626,1352
LCG,-734,819,1553
BVH,-763,570,1333
MSN,-859,949,1808
NKG,-945,1180,2125
DIG,-987,1129,2116
HSG,-1034,2227,3261
ITA,-1056,1374,2430
POW,-1073,1096,2169
PVD,-1075,980,2055
DXG,-1094,1114,2208
PHR,-1239,669,1908
STB,-1417,1732,3149
TCB,-1438,2765,4203
HBC,-1602,1686,3288
GEX,-1640,1224,2864
ACB,-1855,1811,3666
HPG,-4862,5683,10545
