Stock,Gap,B,S
PVS,619,1035,416
HHS,574,1721,1147
HUT,494,789,295
GTN,398,1691,1293
PDR,381,855,474
BSR,377,704,327
TPB,365,1125,760
ACB,326,2603,2277
LDG,317,2094,1777
SBS,291,486,195
VIX,290,464,174
EVG,285,510,225
ITA,279,2545,2266
SCS,278,421,143
VIB,266,877,611
SJF,259,826,567
ACV,225,377,152
APG,215,345,130
TNG,206,475,269
HAG,204,2426,2222
ASM,196,1163,967
VSC,186,333,147
VPG,177,447,270
HQC,167,780,613
FCN,164,463,299
KDC,146,419,273
TTB,145,404,259
NVB,144,207,63
TIG,110,176,66
MST,105,173,68
TDG,104,196,92
CRC,103,211,108
DRH,102,749,647
TCM,101,449,348
SMC,100,243,143
SIP,96,180,84
TGG,91,168,77
DHM,87,148,61
HSL,87,90,3
DAG,81,229,148
FTM,78,181,103
VGT,76,148,72
NHH,73,105,32
HSG,70,2040,1970
CCL,62,349,287
SHS,61,300,239
NDN,56,148,92
IDI,55,703,648
CVT,55,88,33
GDT,54,77,23
DRC,51,460,409
VGI,51,267,216
HPX,50,71,21
HDA,49,77,28
NTL,43,297,254
STK,43,69,26
ORS,42,76,34
AAV,41,114,73
S99,40,53,13
OIL,39,150,111
IDC,37,199,162
ACM,37,106,69
ADG,36,68,32
DST,35,58,23
VPI,34,69,35
PVC,32,63,31
PVP,31,68,37
ANV,29,526,497
DAH,29,140,111
SPI,29,59,30
VCG,27,134,107
VTD,27,43,16
GVR,26,1432,1406
HAX,26,352,326
HHP,26,49,23
BCC,25,139,114
DXP,25,93,68
BCG,24,464,440
SRA,24,93,69
VCP,24,47,23
HAP,23,171,148
DDG,23,110,87
PFL,22,31,9
HDB,21,1801,1780
APH,21,270,249
NTC,21,71,50
BAX,21,36,15
VCR,20,63,43
LAS,20,52,32
HND,19,46,27
VGS,18,43,25
VLC,17,68,51
THG,17,68,51
BVS,15,131,116
KOS,14,38,24
TDT,14,34,20
VNA,14,31,17
VPH,14,27,13
MLS,14,21,7
CTF,13,39,26
EVE,13,33,20
NRC,12,29,17
VC3,12,29,17
SDD,12,16,4
MSR,11,295,284
QBS,11,65,54
SBV,11,25,14
PVL,9,18,9
TVS,9,15,6
GKM,9,12,3
SDT,9,12,3
DCL,8,86,78
HII,8,51,43
HCD,7,69,62
PGS,7,35,28
SGP,7,31,24
FIT,6,678,672
DSN,6,24,18
PSD,6,16,10
BOT,6,9,3
TN1,6,8,2
LGL,5,24,19
MCH,5,14,9
DRI,4,74,70
AFX,4,62,58
TNT,4,42,38
C69,4,36,32
CTP,4,15,11
TYA,4,14,10
SD9,4,6,2
ELC,3,259,256
MBS,3,59,56
ABC,3,8,5
TXM,3,6,3
PTB,2,330,328
AMV,2,154,152
KLB,2,35,33
NTP,2,25,23
FOX,2,9,7
CTR,1,285,284
DPR,1,56,55
DS3,1,10,9
CMS,1,8,7
VIG,0,49,49
DHT,0,8,8
SKH,0,3,3
CRE,-1,179,180
SWC,-1,58,59
SAM,-1,26,27
PVI,-1,12,13
PVV,-1,11,12
VHE,-1,6,7
ADS,-2,23,25
VTR,-2,19,21
MPT,-2,5,7
SFG,-2,2,4
YEG,-3,43,46
VNP,-3,14,17
DIG,-4,992,996
VTP,-4,127,131
TVC,-4,110,114
ART,-4,74,78
CLG,-4,30,34
ITD,-4,28,32
HID,-4,23,27
DNM,-4,12,16
PXT,-4,10,14
PVB,-5,60,65
VNG,-5,56,61
SSN,-5,12,17
CHP,-5,8,13
SHA,-5,7,12
TTZ,-5,1,6
TVN,-6,81,87
STH,-6,14,20
HAD,-6,4,10
SD6,-6,2,8
LIG,-7,32,39
CNG,-7,27,34
SEA,-7,21,28
MML,-7,16,23
TTN,-7,10,17
SMB,-7,8,15
ITQ,-7,6,13
TCW,-7,5,12
SNZ,-8,21,29
CIA,-8,0,8
EVF,-9,35,44
PSH,-9,21,30
IDV,-9,7,16
DTD,-10,62,72
SGR,-10,26,36
BTD,-10,10,20
ABI,-10,10,20
TDC,-11,345,356
KLF,-11,59,70
HLD,-12,36,48
GAB,-12,7,19
QTP,-12,1,13
NBB,-12,0,12
AGM,-13,32,45
NHA,-13,31,44
PGN,-13,18,31
TBC,-13,1,14
VEA,-14,139,153
L14,-14,26,40
TDN,-14,14,28
TTH,-14,12,26
PAN,-15,589,604
SD5,-15,14,29
AAS,-16,66,82
MPC,-16,60,76
NCT,-16,52,68
SAV,-16,20,36
SFI,-16,10,26
VRG,-17,21,38
IBC,-17,9,26
PWA,-18,94,112
CSM,-18,41,59
TCT,-18,31,49
PXL,-18,22,40
SLS,-18,1,19
BCM,-19,58,77
PAC,-19,9,28
SZL,-20,50,70
PHC,-20,38,58
KMR,-20,34,54
SRC,-20,26,46
PLP,-21,383,404
PAS,-21,80,101
ASG,-21,11,32
MFS,-21,7,28
PVD,-22,1963,1985
VOC,-23,99,122
TIP,-23,61,84
DTA,-23,12,35
DHA,-24,44,68
CVN,-24,37,61
SBA,-24,14,38
KHP,-26,59,85
VCS,-27,187,214
VGC,-28,167,195
IDJ,-28,111,139
APC,-29,31,60
QNS,-30,25,55
DMC,-32,50,82
HTN,-34,148,182
PXS,-34,64,98
HAH,-35,428,463
VSH,-35,29,64
ASP,-35,12,47
TLG,-36,62,98
SHI,-36,50,86
FIR,-36,34,70
TAR,-37,139,176
G36,-37,114,151
BII,-37,3,40
SHB,-38,589,627
MBG,-38,55,93
DLG,-40,335,375
PLC,-41,95,136
POM,-41,87,128
DBD,-42,18,60
BMC,-43,16,59
KSH,-47,45,92
HAI,-49,180,229
IMP,-49,52,101
C4G,-50,71,121
AGG,-51,850,901
HDC,-51,666,717
TAC,-51,49,100
TNA,-52,107,159
VNE,-52,79,131
HVH,-52,70,122
BFC,-53,176,229
DVP,-53,32,85
NSC,-54,12,66
ACL,-56,32,88
LIX,-56,24,80
MHC,-56,24,80
JVC,-58,186,244
LHG,-60,146,206
NNC,-60,69,129
LTG,-62,184,246
DQC,-62,58,120
SJD,-62,24,86
DVN,-64,111,175
C47,-65,51,116
TVB,-68,99,167
VIP,-68,91,159
VRC,-72,55,127
TNI,-73,59,132
NAF,-74,112,186
ABS,-77,107,184
TCL,-84,256,340
AST,-89,80,169
CEO,-93,363,456
BIC,-93,44,137
KSB,-98,1003,1101
SKG,-98,90,188
PPC,-102,99,201
SJS,-102,42,144
NLG,-105,344,449
TLD,-105,130,235
VOS,-110,176,286
ILB,-112,33,145
TSC,-116,258,374
CMG,-121,30,151
AGR,-124,652,776
CTI,-125,71,196
OGC,-126,183,309
C32,-127,123,250
LSS,-127,101,228
BSI,-127,60,187
LCG,-129,671,800
MSH,-133,104,237
PC1,-134,208,342
EIB,-135,112,247
TCH,-137,2210,2347
CKG,-148,287,435
D2D,-148,195,343
AMD,-155,145,300
CSV,-155,125,280
HAR,-155,109,264
NT2,-161,123,284
CTS,-167,227,394
PET,-169,712,881
FLC,-189,768,957
QCG,-202,226,428
BWE,-208,269,477
TLH,-217,153,370
BMP,-226,39,265
GIL,-229,304,533
CMX,-230,223,453
DBC,-237,928,1165
TV2,-240,222,462
HT1,-241,465,706
SZC,-244,530,774
FTS,-248,165,413
DHC,-257,109,366
NKG,-272,976,1248
STB,-276,3277,3553
SAB,-283,318,601
TDM,-298,194,492
FMC,-299,290,589
GEG,-307,183,490
DGW,-308,294,602
TDH,-316,623,939
VCI,-316,324,640
PHR,-324,283,607
IJC,-339,443,782
HNG,-340,708,1048
ROS,-349,320,669
SCR,-350,680,1030
DGC,-360,199,559
HBC,-372,1678,2050
SSI,-380,2075,2455
BMI,-382,306,688
DPG,-387,406,793
AAA,-408,661,1069
CII,-471,392,863
SBT,-473,464,937
FRT,-498,1273,1771
KBC,-522,946,1468
DPM,-544,686,1230
HDG,-546,353,899
CTD,-576,482,1058
PVT,-582,711,1293
HVN,-586,654,1240
VPB,-603,1261,1864
VND,-641,704,1345
DCM,-653,400,1053
TTF,-675,486,1161
REE,-676,321,997
POW,-680,2785,3465
KDH,-767,1043,1810
VJC,-780,358,1138
BVH,-850,647,1497
BID,-974,1255,2229
MSN,-997,706,1703
PLX,-1006,596,1602
MBB,-1125,2126,3251
TCB,-1131,4623,5754
NVL,-1182,721,1903
HCM,-1221,1238,2459
GEX,-1258,1567,2825
VIC,-1334,799,2133
GMD,-1337,1011,2348
GAS,-1377,739,2116
VHC,-1512,1403,2915
MWG,-1529,651,2180
PNJ,-1636,496,2132
DXG,-1676,1870,3546
VNM,-1998,1455,3453
VHM,-2289,1528,3817
FPT,-2324,1207,3531
VRE,-2562,2471,5033
VCB,-2644,1576,4220
CTG,-3376,2282,5658
HPG,-7503,5422,12925
