,Code,Floor
851,SSN,UPCOM
852,GDW,HNX
853,VDL,HNX
854,SD9,HNX
855,PVC,HNX
856,TRC,HOSE
857,IME,UPCOM
858,VC2,HNX
859,VTV,HNX
860,MCO,HNX
861,PJC,HNX
862,SDC,HNX
863,STC,HNX
864,IKH,UPCOM
865,HLA,UPCOM
866,DNS,UPCOM
867,BTP,HOSE
868,ACL,HOSE
869,IJC,HOSE
870,ANV,HOSE
871,BTW,HNX
872,FTM,HOSE
873,FRC,UPCOM
874,CHS,UPCOM
875,UIC,HOSE
876,HCT,HNX
877,TPC,HOSE
878,HCC,HNX
879,SDJ,UPCOM
880,KBC,HOSE
881,VSC,HOSE
882,PVE,UPCOM
883,SDD,UPCOM
884,CAP,HNX
885,NGC,HNX
886,NHH,HOSE
887,FTS,HOSE
888,VE9,UPCOM
889,PTV,UPCOM
890,HUT,HNX
891,YBC,UPCOM
892,VNS,HOSE
893,SPV,UPCOM
894,MTA,UPCOM
895,KSH,UPCOM
896,BHC,UPCOM
897,TGP,UPCOM
898,DHC,HOSE
899,VRG,UPCOM
900,AAM,HOSE
901,DAD,HNX
902,BED,HNX
903,VIT,HNX
904,DVP,HOSE
905,PTG,UPCOM
906,HGM,HNX
907,UDJ,UPCOM
908,PGT,HNX
909,AMV,HNX
910,INN,HNX
911,APC,HOSE
912,TLG,HOSE
913,KBE,UPCOM
914,SDE,UPCOM
915,DRH,HOSE
916,NTB,UPCOM
917,LCC,UPCOM
918,PXI,HOSE
919,VXB,HNX
920,HTC,HNX
921,PHS,UPCOM
922,PVR,UPCOM
923,NNC,HOSE
924,VE2,HNX
925,PDR,HOSE
926,CKG,HOSE
927,PCT,HNX
928,PIV,UPCOM
929,HCI,UPCOM
930,SCL,UPCOM
931,SCO,UPCOM
932,PFL,UPCOM
933,PTL,HOSE
934,LM8,HOSE
935,TIS,UPCOM
936,NKG,HOSE
937,CIG,HOSE
938,L14,HNX
939,MBB,HOSE
940,VCX,UPCOM
941,STV,UPCOM
942,MED,HNX
943,LMC,UPCOM
944,FCN,HOSE
945,BHP,UPCOM
946,FCM,HOSE
947,PSD,HNX
948,HNG,HOSE
949,CH5,UPCOM
950,CCH,UPCOM
951,IFC,UPCOM
952,PIC,HNX
953,VCW,UPCOM
954,HPI,UPCOM
955,CMK,UPCOM
956,CDG,UPCOM
957,CLM,HNX
958,MVY,UPCOM
959,BII,HNX
960,PVH,UPCOM
961,NMK,UPCOM
962,SGO,UPCOM
963,TTB,HOSE
964,MPT,HNX
965,ACV,UPCOM
966,HIZ,UPCOM
967,MFS,UPCOM
968,HKP,UPCOM
969,ACM,HNX
970,PMP,HNX
971,NDP,UPCOM
972,VEF,UPCOM
973,CMP,UPCOM
974,KDM,HNX
975,TID,UPCOM
976,VPD,HOSE
977,MST,HNX
978,FCC,UPCOM
979,FRT,HOSE
980,HNP,UPCOM
981,HPW,UPCOM
982,NVL,HOSE
983,UPH,UPCOM
984,FCS,UPCOM
985,DNR,UPCOM
986,YRC,UPCOM
987,GTS,UPCOM
988,RLC,UPCOM
989,NVP,UPCOM
990,SSU,UPCOM
991,CCV,UPCOM
992,BTB,UPCOM
993,HHR,UPCOM
994,DTG,UPCOM
995,MTS,UPCOM
996,QLT,UPCOM
997,DNE,UPCOM
998,CCT,UPCOM
999,HEJ,UPCOM
1000,CPA,UPCOM
1001,TDG,HOSE
1002,DSS,UPCOM
1003,HD6,UPCOM
1004,NHV,UPCOM
1005,TCD,HOSE
1006,TNW,UPCOM
1007,HTE,UPCOM
1008,DNN,UPCOM
1009,SKH,UPCOM
1010,HDW,UPCOM
1011,TS5,UPCOM
1012,HEP,UPCOM
1013,TLD,HOSE
1014,BGW,UPCOM
1015,SVH,UPCOM
1016,BUD,UPCOM
1017,MDA,UPCOM
1018,BMF,UPCOM
1019,LMH,UPCOM
1020,YEG,HOSE
1021,BSH,UPCOM
1022,FGL,UPCOM
1023,A32,UPCOM
1024,DDG,HNX
1025,TLI,UPCOM
1026,USD,UPCOM
1027,DCG,UPCOM
1028,NSL,UPCOM
1029,DUS,UPCOM
1030,SZB,HNX
1031,VW3,UPCOM
1032,GAB,HOSE
1033,E29,UPCOM
1034,TR1,UPCOM
1035,MDT,UPCOM
1036,HGC,UPCOM
1037,PSH,HOSE
1038,SGH,HNX
1039,REE,HOSE
1040,PLX,HOSE
1041,HPG,HOSE
1042,TAC,HOSE
1043,TYA,HOSE
1044,PVS,HNX
1045,BCC,HNX
1046,CTG,HOSE
1047,TTC,HNX
1048,VIP,HOSE
1049,PAC,HOSE
1050,VSA,HNX
1051,SHB,HNX
1052,BVS,HNX
1053,HNB,UPCOM
1054,ITA,HOSE
1055,SVI,HOSE
1056,OPC,HOSE
1057,BHV,UPCOM
1058,SPH,UPCOM
1059,TDN,HNX
1060,TDW,HOSE
1061,PJS,UPCOM
1062,HOT,HOSE
1063,ICC,UPCOM
1064,D2D,HOSE
1065,DDN,UPCOM
1066,TLT,UPCOM
1067,TCI,UPCOM
1068,PAN,HOSE
1069,VIS,HOSE
1070,HAX,HOSE
1071,MPC,UPCOM
1072,TCO,HOSE
1073,NBC,HNX
1074,PSC,HNX
1075,LGC,HOSE
1076,SFN,HNX
1077,SJD,HOSE
1078,HDM,UPCOM
1079,BVN,UPCOM
1080,GTA,HOSE
1081,FDG,UPCOM
1082,CTD,HOSE
1083,X26,UPCOM
1084,VKD,UPCOM
1085,CNN,UPCOM
1086,LM3,UPCOM
1087,PAI,UPCOM
1088,HCB,UPCOM
1089,VNP,UPCOM
1090,C92,HNX
1091,GVR,HOSE
1092,DCS,UPCOM
1093,MIC,UPCOM
1094,ORS,UPCOM
1095,SGT,HOSE
1096,BHN,HOSE
1097,X20,HNX
1098,PVX,UPCOM
1099,ONE,HNX
1100,TV4,HNX
1101,CNT,UPCOM
1102,QCG,HOSE
1103,DHT,HNX
1104,BST,HNX
1105,CFC,UPCOM
1106,PPP,HNX
1107,SHS,HNX
1108,VPC,UPCOM
1109,TMX,HNX
1110,ACE,UPCOM
1111,PTP,UPCOM
1112,VNX,UPCOM
1113,BDB,HNX
1114,TAG,UPCOM
1115,HDG,HOSE
1116,TVN,UPCOM
1117,VES,UPCOM
1118,NVT,HOSE
1119,DLR,UPCOM
1120,VCR,UPCOM
1121,IN4,UPCOM
1122,HU1,HOSE
1123,SBA,HOSE
1124,PXM,UPCOM
1125,LDW,UPCOM
1126,VDN,UPCOM
1127,DTA,HOSE
1128,SMT,HNX
1129,MIM,HNX
1130,TNP,UPCOM
1131,POV,UPCOM
1132,PXL,UPCOM
1133,VAT,HNX
1134,PV2,HNX
1135,PTD,HNX
1136,TSB,HNX
1137,BDC,UPCOM
1138,DLD,UPCOM
1139,FBA,UPCOM
1140,SEP,UPCOM
1141,SDV,UPCOM
1142,ITQ,HNX
1143,CDN,HNX
1144,PSE,HNX
1145,LKW,UPCOM
1146,SNZ,UPCOM
1147,E12,UPCOM
1148,HU4,UPCOM
1149,PTK,UPCOM
1150,PDT,UPCOM
1151,TVB,HOSE
1152,TTZ,HNX
1153,TIP,HOSE
1154,DVC,UPCOM
1155,PVB,HNX
1156,TSJ,UPCOM
1157,PXC,UPCOM
1158,SKG,HOSE
1159,DCF,UPCOM
1160,BT1,UPCOM
1161,KHD,UPCOM
1162,PBC,UPCOM
1163,PTE,UPCOM
1164,TVM,UPCOM
1165,VTH,HNX
1166,EIN,UPCOM
1167,DCM,HOSE
1168,SMN,HNX
1169,DPS,HNX
1170,VMA,UPCOM
1171,LAW,UPCOM
1172,PIS,UPCOM
1173,HPM,HNX
1174,ATS,HNX
1175,G36,UPCOM
1176,KIP,UPCOM
1177,QSP,UPCOM
1178,MTL,UPCOM
1179,NSG,UPCOM
1180,ATG,HOSE
1181,BIO,UPCOM
1182,VGL,UPCOM
1183,HCD,HOSE
1184,VNB,UPCOM
1185,AMS,UPCOM
1186,BTR,UPCOM
1187,ROS,HOSE
1188,CDR,UPCOM
1189,VLB,UPCOM
1190,TTV,UPCOM
1191,BMV,UPCOM
1192,TTH,HNX
1193,SAC,UPCOM
1194,XHC,UPCOM
1195,NTR,UPCOM
1196,PC1,HOSE
1197,PHN,HNX
1198,LCW,UPCOM
1199,NS2,UPCOM
1200,GCB,UPCOM
1201,PND,UPCOM
1202,PWA,UPCOM
1203,VIH,UPCOM
1204,QNU,UPCOM
1205,VSM,HNX
1206,ATB,UPCOM
1207,CCP,UPCOM
1208,KDF,UPCOM
1209,C69,HNX
1210,CIP,UPCOM
1211,TCJ,UPCOM
1212,KSE,UPCOM
1213,SJF,HOSE
1214,TSD,UPCOM
1215,CIA,HNX
1216,MND,UPCOM
1217,LTG,UPCOM
1218,MGG,UPCOM
1219,FBC,UPCOM
1220,FTI,UPCOM
1221,VPG,HOSE
1222,VPW,UPCOM
1223,DTD,HNX
1224,LG9,UPCOM
1225,TA6,UPCOM
1226,ASG,HOSE
1227,MBN,UPCOM
1228,NAU,UPCOM
1229,CDP,UPCOM
1230,TGG,HOSE
1231,SBH,UPCOM
1232,DTP,UPCOM
1233,DWS,UPCOM
1234,C4G,UPCOM
1235,BOT,UPCOM
1236,DNB,UPCOM
1237,GIC,HNX
1238,TDF,UPCOM
1239,NNQ,UPCOM
1240,ADG,UPCOM
1241,CCA,UPCOM
1242,HAW,UPCOM
1243,CID,UPCOM
1244,LAF,HOSE
1245,COM,HOSE
1246,BSI,HOSE
1247,DPC,HNX
1248,HCM,HOSE
1249,M10,UPCOM
1250,ONW,UPCOM
1251,BTS,HNX
1252,BID,HOSE
1253,SCD,HOSE
1254,SSI,HOSE
1255,VCC,HNX
1256,CLC,HOSE
1257,THT,HNX
1258,SPD,UPCOM
1259,VLF,UPCOM
1260,VPS,HOSE
1261,SPA,UPCOM
1262,DXL,UPCOM
1263,SDT,HNX
1264,LTC,UPCOM
1265,SAB,HOSE
1266,CTN,UPCOM
1267,POT,HNX
1268,S99,HNX
1269,AUM,UPCOM
1270,PLC,HNX
1271,SIC,HNX
1272,HNM,UPCOM
1273,HBC,HOSE
1274,MCP,HOSE
1275,TCR,HOSE
1276,S12,UPCOM
1277,PVT,HOSE
1278,PVG,HNX
1279,PHR,HOSE
1280,VIM,UPCOM
1281,BAX,HNX
1282,CVT,HOSE
1283,L10,HOSE
1284,MRF,UPCOM
1285,VMI,HNX
1286,SBD,UPCOM
1287,VST,UPCOM
1288,SD1,UPCOM
1289,NDT,UPCOM
1290,TNB,UPCOM
1291,CLH,HNX
1292,ST8,HOSE
1293,XMC,UPCOM
1294,BTH,UPCOM
1295,CHC,UPCOM
1296,SBS,UPCOM
1297,SRA,HNX
1298,SCR,HOSE
1299,DXV,HOSE
1300,SRB,UPCOM
1301,S4A,HOSE
1302,L18,HNX
1303,VKP,UPCOM
1304,ITC,HOSE
1305,KKC,HNX
1306,MKV,HNX
1307,VGS,HNX
1308,VHL,HNX
1309,PME,HOSE
1310,PVA,UPCOM
1311,BKC,HNX
1312,VNI,UPCOM
1313,DC2,HNX
1314,LGL,HOSE
1315,TV2,HOSE
1316,CMI,UPCOM
1317,CSC,HNX
1318,TV3,HNX
1319,SQC,UPCOM
1320,VIX,HNX
1321,IHK,UPCOM
1322,CGV,UPCOM
1323,CPC,HNX
1324,TMT,HOSE
1325,TTG,UPCOM
1326,CMT,UPCOM
1327,L35,HNX
1328,VNH,UPCOM
1329,TNT,HOSE
1330,ICI,UPCOM
1331,NHA,HNX
1332,HBS,HNX
1333,CTX,HNX
1334,ANT,UPCOM
1335,RCC,UPCOM
1336,TFC,HNX
1337,VAF,HOSE
1338,SMB,HOSE
1339,MTP,UPCOM
1340,PMJ,UPCOM
1341,CTA,UPCOM
1342,BSC,HNX
1343,MDG,HOSE
1344,VDT,UPCOM
1345,MDF,UPCOM
1346,SVN,HNX
1347,THG,HOSE
1348,DNL,UPCOM
1349,DRL,HOSE
1350,PRT,UPCOM
1351,EMC,HOSE
1352,HAR,HOSE
1353,TMG,UPCOM
1354,KSK,UPCOM
1355,NFC,HNX
1356,CEC,UPCOM
1357,QPH,UPCOM
1358,DGC,HOSE
1359,DOP,UPCOM
1360,EAD,UPCOM
1361,SIV,UPCOM
1362,TQN,UPCOM
1363,PEQ,UPCOM
1364,TVC,HNX
1365,VVN,UPCOM
1366,CEO,HNX
1367,QBS,HOSE
1368,DAT,HOSE
1369,BSP,UPCOM
1370,HAH,HOSE
1371,SHG,UPCOM
1372,TW3,UPCOM
1373,PPY,HNX
1374,NWT,UPCOM
1375,BMN,UPCOM
1376,BDG,UPCOM
1377,BWE,HOSE
1378,VCE,UPCOM
1379,TAP,UPCOM
1380,HRT,UPCOM
1381,VWS,UPCOM
1382,TVU,UPCOM
1383,PSN,UPCOM
1384,MES,UPCOM
1385,HHN,UPCOM
1386,X77,UPCOM
1387,EMG,UPCOM
1388,TUG,UPCOM
1389,VBG,UPCOM
1390,CE1,UPCOM
1391,TSG,UPCOM
1392,LMI,UPCOM
1393,THI,HOSE
1394,LWS,UPCOM
1395,CEE,HOSE
1396,BSL,UPCOM
1397,RGC,UPCOM
1398,TCW,UPCOM
1399,FRM,UPCOM
1400,VHD,UPCOM
1401,HII,HOSE
1402,NSH,HNX
1403,UMC,UPCOM
1404,PLP,HOSE
1405,SUM,UPCOM
1406,QLD,UPCOM
1407,HLE,UPCOM
1408,ILA,UPCOM
1409,BHK,UPCOM
1410,NRC,HNX
1411,S72,UPCOM
1412,TA3,UPCOM
1413,PTX,UPCOM
1414,DX2,UPCOM
1415,BHG,UPCOM
1416,HHP,HNX
1417,SBR,UPCOM
1418,VSE,UPCOM
1419,ILB,HOSE
1420,TAR,HNX
1421,SIP,UPCOM
1422,CSI,UPCOM
1423,HD8,UPCOM
1424,ABS,HOSE
1425,IPH,UPCOM
1426,CAB,UPCOM
1427,MEG,UPCOM
1428,AGG,HOSE
1429,QNT,UPCOM
1430,HGR,UPCOM
1431,CAN,HNX
1432,GND,UPCOM
1433,VSN,UPCOM
1434,DHA,HOSE
1435,SAV,HOSE
1436,SEA,UPCOM
1437,KTL,UPCOM
1438,DIG,HOSE
1439,VSP,UPCOM
1440,VOS,HOSE
1441,CYC,UPCOM
1442,SDG,HNX
1443,NLG,HOSE
1444,BMI,HOSE
1445,TTD,UPCOM
1446,BBS,HNX
1447,VTO,HOSE
1448,ABC,UPCOM
1449,MVC,UPCOM
1450,PGC,HOSE
1451,TMS,HOSE
1452,MTG,UPCOM
1453,TDH,HOSE
1454,HTV,HOSE
1455,VIB,HOSE
1456,DVW,UPCOM
1457,TKU,HNX
1458,ICT,HOSE
1459,DHG,HOSE
1460,ALT,HNX
1461,PTC,HOSE
1462,TTT,HNX
1463,CMF,UPCOM
1464,PIT,HOSE
1465,VTD,UPCOM
1466,HMG,UPCOM
1467,HAI,HOSE
1468,CJC,HNX
1469,HTP,HNX
1470,SAP,UPCOM
1471,SD3,UPCOM
1472,LBM,HOSE
1473,SAF,HNX
1474,DAE,HNX
1475,DRC,HOSE
1476,SDN,HNX
1477,SDU,HNX
1478,AGR,HOSE
1479,PGS,HNX
1480,DNT,UPCOM
1481,DDM,UPCOM
1482,DPM,HOSE
1483,SCJ,UPCOM
1484,HGT,UPCOM
1485,BWS,UPCOM
1486,NBP,HNX
1487,LO5,HNX
1488,GER,UPCOM
1489,CC4,UPCOM
1490,FHS,UPCOM
1491,PGD,HOSE
1492,SJC,HNX
1493,CMV,HOSE
1494,NBB,HOSE
1495,PDC,HNX
1496,NDF,UPCOM
1497,ISH,UPCOM
1498,NTW,UPCOM
1499,ASP,HOSE
1500,KTC,UPCOM
1501,B82,UPCOM
1502,TVD,HNX
1503,VBB,UPCOM
1504,L43,HNX
1505,SZL,HOSE
1506,QTC,HNX
1507,TPP,HNX
1508,SPP,UPCOM
1509,SSM,HNX
1510,QST,HNX
1511,HVT,HNX
1512,VDS,HOSE
1513,ABI,UPCOM
1514,CLX,UPCOM
1515,VPH,HOSE
1516,SAS,UPCOM
1517,NAG,HNX
1518,VC9,HNX
1519,HAD,HNX
1520,SDH,UPCOM
1521,API,HNX
1522,MSN,HOSE
1523,PSP,UPCOM
1524,BXH,HNX
1525,CT3,UPCOM
1526,DID,UPCOM
1527,WSS,HNX
1528,VNG,HOSE
1529,HMH,HNX
1530,CKV,HNX
1531,ADP,UPCOM
1532,VBC,HNX
1533,VCI,HOSE
1534,DL1,HNX
1535,NDC,UPCOM
1536,BTT,HOSE
1537,CT6,UPCOM
1538,V21,HNX
1539,KSD,HNX
1540,VCM,HNX
1541,CX8,HNX
1542,AAA,HOSE
1543,PMT,UPCOM
1544,VLA,HNX
1545,LAS,HNX
1546,SDK,UPCOM
1547,SMA,HOSE
1548,KAC,UPCOM
1549,STU,UPCOM
1550,PX1,UPCOM
1551,AVF,UPCOM
1552,VTI,UPCOM
1553,HDA,HNX
1554,PCG,HNX
1555,VIW,UPCOM
1556,SSG,UPCOM
1557,BHT,UPCOM
1558,VCF,HOSE
1559,KCE,UPCOM
1560,H11,UPCOM
1561,IDI,HOSE
1562,PPE,HNX
1563,GMX,HNX
1564,LCM,HOSE
1565,SVT,HOSE
1566,BCM,HOSE
1567,VGC,HOSE
1568,HFX,UPCOM
1569,SLS,HNX
1570,PGV,UPCOM
1571,SCS,HOSE
1572,VGI,UPCOM
1573,PDB,HNX
1574,MIG,UPCOM
1575,PNG,UPCOM
1576,CTT,HNX
1577,HBH,UPCOM
1578,HMS,UPCOM
1579,HES,UPCOM
1580,TBD,UPCOM
1581,CSV,HOSE
1582,APF,UPCOM
1583,MTM,UPCOM
1584,TOP,UPCOM
1585,AGX,UPCOM
1586,PVO,UPCOM
1587,VLG,UPCOM
1588,BDW,UPCOM
1589,PCN,UPCOM
1590,DNW,UPCOM
1591,RBC,UPCOM
1592,TDM,HOSE
1593,I10,UPCOM
1594,SVG,UPCOM
1595,SGP,UPCOM
1596,NTT,UPCOM
1597,MVB,HNX
1598,NCP,UPCOM
1599,MGC,UPCOM
1600,BSG,UPCOM
1601,VJC,HOSE
1602,CDH,UPCOM
1603,BEL,UPCOM
1604,VEA,UPCOM
1605,GTD,UPCOM
1606,QBR,UPCOM
1607,HNT,UPCOM
1608,NQT,UPCOM
1609,MLS,UPCOM
1610,MCT,UPCOM
1611,TVA,UPCOM
1612,HDP,UPCOM
1613,HFB,UPCOM
1614,MTV,UPCOM
1615,SBV,HOSE
1616,CMW,UPCOM
1617,MLC,UPCOM
1618,BCF,HNX
1619,TEL,UPCOM
1620,EVG,HOSE
1621,GKM,HNX
1622,THN,UPCOM
1623,HAM,UPCOM
1624,PCM,UPCOM
1625,MEL,HNX
1626,SBM,UPCOM
1627,FT1,UPCOM
1628,ATD,UPCOM
1629,HRB,UPCOM
1630,IRC,UPCOM
1631,VPI,HOSE
1632,EPH,UPCOM
1633,HPH,UPCOM
1634,AG1,UPCOM
1635,HTN,HOSE
1636,DHN,UPCOM
1637,EVS,HNX
1638,CKA,UPCOM
1639,SKN,UPCOM
1640,BLU,UPCOM
1641,PAS,UPCOM
1642,AQN,UPCOM
1643,DXD,UPCOM
1644,PLO,UPCOM
1645,TTA,HOSE
1646,MHP,UPCOM
